Code,Description
280,IRON DEFICIENCY ANAEMIAS
281,OTHER DEFICIENCY ANAEMIAS
281.0,PERNICIOUS ANAEMIA
281.1,OTHER VITAMIN-'B12'-DEFICIENCY ANAEMIA
281.2,FOLATE-DEFICIENCY ANAEMIA
281.3,"OTHER SPECIFIED MEGALOBLASTIC ANAEMIAS, NOT ELSEWHERE CLASSIFIED"
281.4,PROTEIN-DEFICIENCY ANAEMIA
281.8,ANAEMIA ASSOCIATED WITH OTHER SPECIFIED NUTRITIONAL DEFICIENCY
281.9,UNSPECIFIED
282,HEREDITARY HAEMOLYTIC ANAEMIAS
282.0,HEREDITARY SPHEROCYTOSIS
282.1,HEREDITARY ELLIPTOCYTOSIS
282.2,ANAEMIA DUE TO DISORDERS OF GLUTATHIONE METABOLISM
282.3,OTHER HAEMOLYTIC ANAEMIAS DUE TO ENZYME DEFICIENCY
282.4,THALASSAEMIAS
282.5,SICKLE-CELL TRAIT
282.6,SICKLE-CELL ANAEMIA
282.7,OTHER HAEMOGLOBINOPATHIES
282.8,OTHER
282.9,UNSPECIFIED
283,ACQUIRED HAEMOLYTIC ANAEMIAS
283.0,AUTOIMMUNE HAEMOLYTIC ANAEMIAS
283.1,NON-AUTOIMMUNE HAEMOLYTIC ANAEMIAS
283.2,HAEMOGLOBINURIA DUE TO HAEMOLYSIS FROM EXTERNAL CAUSES
283.9,UNSPECIFIED
284,APLASTIC ANAEMIA
284.0,CONSTITUTIONAL APLASTIC ANAEMIA
284.8,OTHER
284.9,UNSPECIFIED
285,OTHER AND UNSPECIFIED ANAEMIAS
285.0,SIDEROBLASTIC ANAEMIA
285.1,ACUTE POSTHAEMORRHAGIC ANAEMIA
285.8,OTHER SPECIFIED ANAEMIAS
285.9,"ANAEMIA, UNSPECIFIED"
286,COAGULATION DEFECTS
286.0,CONGENITAL FACTOR VIII DISORDER
286.1,CONGENITAL FACTOR IX DISORDER
286.2,CONGENITAL FACTOR XI DEFICIENCY
286.3,CONGENITAL DEFICIENCY OF OTHER CLOTTING FACTORS
286.4,VON WILLEBRAND'S DISEASE
286.5,HAEMORRHAGIC DISORDER DUE TO CIRCULATING ANTICOAGULANTS
286.6,DEFIBRINATION SYNDROME
286.7,ACQUIRED COAGULATION FACTOR DEFICIENCY
286.9,OTHER AND UNSPECIFIED COAGULATION DEFECTS
287,PURPURA AND OTHER HAEMORRHAGIC CONDITIONS
287.0,ALLERGIC PURPURA
287.1,QUALITATIVE PLATELET DEFECTS
287.2,OTHER NONTHROMBOCYTOPENIC PURPURAS
287.3,PRIMARY THROMBOCYTOPENIA
287.4,SECONDARY THROMBOCYTOPENIA
287.5,"THROMBOCYTOPENIA, UNSPECIFIED"
287.8,OTHER SPECIFIED HAEMORRHAGIC CONDITIONS
287.9,UNSPECIFIED HAEMORRHAGIC CONDITIONS
288,DISEASES OF WHITE BLOOD CELLS
288.0,AGRANULOCYTOSIS
288.1,FUNCTIONAL DISORDERS OF NEUTROPHIL POLYMORPHONUCLEARS
288.2,GENETIC ANOMALIES OF LEUCOCYTES
288.3,EOSINOPHILIA
288.8,OTHER
288.9,UNSPECIFIED
289,OTHER DISEASES OF BLOOD AND BLOOD-FORMING ORGANS
289.0,SECONDARY POLYCYTHAEMIA
289.1,CHRONIC LYMPHADENITIS
289.2,NONSPECIFIC MESENTERIC LYMPHADENITIS
289.3,"LYMPHADENITIS, UNSPECIFIED, EXCEPT MESENTERIC"
289.4,HYPERSPLENISM
289.5,OTHER DISEASES OF SPLEEN
289.6,FAMILIAL POLYCYTHAEMIA
289.7,METHAEMOGLOBINAEMIA
289.8,OTHER
289.9,UNSPECIFIED
