Code,Description
390,RHEUMATIC FEVER WITHOUT MENTION OF HEART INVOLVEMENT
391,RHEUMATIC FEVER WITH HEART INVOLVEMENT
391.0,ACUTE RHEUMATIC PERICARDITIS
391.1,ACUTE RHEUMATIC ENDOCARDITIS
391.2,ACUTE RHEUMATIC MYOCARDITIS
391.8,OTHER ACUTE RHEUMATIC HEART DISEASE
391.9,"ACUTE RHEUMATIC HEART DISEASE, UNSPECIFIED"
392,RHEUMATIC CHOREA
392.0,WITH HEART INVOLVEMENT
392.9,WITHOUT MENTION OF HEART INVOLVEMENT
393,CHRONIC RHEUMATIC PERICARDITIS
394,DISEASES OF MITRAL VALVE
394.0,MITRAL STENOSIS
394.1,RHEUMATIC MITRAL INSUFFICIENCY
394.2,MITRAL STENOSIS WITH INSUFFICIENCY
394.9,OTHER AND UNSPECIFIED
395,DISEASES OF AORTIC VALVE
395.0,RHEUMATIC AORTIC STENOSIS
395.1,RHEUMATIC AORTIC INSUFFICIENCY
395.2,RHEUMATIC AORTIC STENOSIS WITH INSUFFICIENCY
395.9,OTHER AND UNSPECIFIED
396,DISEASES OF MITRAL AND AORTIC VALVES
397,DISEASES OF OTHER ENDOCARDIAL STRUCTURES
397.0,DISEASES OF TRICUSPID VALVE
397.1,RHEUMATIC DISEASES OF PULMONARY VALVE
397.9,"RHEUMATIC DISEASES OF ENDOCARDIUM, VALVE UNSPECIFIED"
398,OTHER RHEUMATIC HEART DISEASE
398.0,RHEUMATIC MYOCARDITIS
398.9,OTHER AND UNSPECIFIED
401,ESSENTIAL HYPERTENSION
401.0,SPECIFIED AS MALIGNANT
401.1,SPECIFIED AS BENIGN
401.9,NOT SPECIFIED AS MALIGNANT OR BENIGN
402,HYPERTENSIVE HEART DISEASE
402.0,SPECIFIED AS MALIGNANT
402.1,SPECIFIED AS BENIGN
402.9,NOT SPECIFIED AS MALIGNANT OR BENIGN
403,HYPERTENSIVE RENAL DISEASE
403.0,SPECIFIED AS MALIGNANT
403.1,SPECIFIED AS BENIGN
403.9,NOT SPECIFIED AS MALIGNANT OR BENIGN
404,HYPERTENSIVE HEART AND RENAL DISEASE
404.0,SPECIFIED AS MALIGNANT
404.1,SPECIFIED AS BENIGN
