Code,Description
740,ANENCEPHALUS AND SIMILAR ANOMALIES
740.0,ANENCEPHALUS
740.1,CRANIORACHISCHISIS
740.2,INIENCEPHALY
741,SPINA BIFIDA
741.0,WITH HYDROCEPHALUS
741.9,WITHOUT MENTION OF HYDROCEPHALUS
742,OTHER CONGENITAL ANOMALIES OF NERVOUS SYSTEM
742.0,ENCEPHALOCELE
742.1,MICROCEPHALUS
742.2,REDUCTION DEFORMITIES OF BRAIN
742.3,CONGENITAL HYDROCEPHALUS
742.4,OTHER SPECIFIED ANOMALIES OF BRAIN
742.5,OTHER SPECIFIED ANOMALIES OF SPINAL CORD
742.8,OTHER SPECIFIED ANOMALIES OF NERVOUS SYSTEM
742.9,"UNSPECIFIED ANOMALIES OF BRAIN, SPINAL CORD AND NERVOUS SYSTEM"
743,CONGENITAL ANOMALIES OF EYE
743.0,ANOPHTHALMOS
743.1,MICROPHTHALMOS
743.2,BUPHTHALMOS
743.3,CONGENITAL CATARACT AND LENS ANOMALIES
743.4,COLOBOMA AND OTHER ANOMALIES OF ANTERIOR SEGMENTS
743.5,CONGENITAL ANOMALIES OF POSTERIOR SEGMENT
743.6,"CONGENITAL ANOMALIES OF EYELIDS, LACRIMAL SYSTEM AND ORBIT"
743.8,OTHER SPECIFIED ANOMALIES OF EYE
743.9,UNSPECIFIED ANOMALIES OF EYE
744,"CONGENITAL ANOMALIES OF EAR, FACE AND NECK"
744.0,ANOMALIES OF EAR CAUSING IMPAIRMENT OF HEARING
744.1,ACCESSORY AURICLE
744.2,OTHER SPECIFIED ANOMALIES OF EAR
744.3,UNSPECIFIED ANOMALIES OF EAR
744.4,"BRANCHIAL CLEFT, CYST OR FISTULA; PREAURICULAR SINUS"
744.5,WEBBING OF NECK
744.8,OTHER SPECIFIED ANOMALIES OF FACE AND NECK
744.9,UNSPECIFIED ANOMALIES OF FACE AND NECK
745,BULBUS CORDIS ANOMALIES AND ANOMALIES OF CARDIAC SEPTAL CLOSURE
745.0,COMMON TRUNCUS
745.1,TRANSPOSITION OF GREAT VESSELS
745.2,TETRALOGY OF FALLOT
745.3,COMMON VENTRICLE
745.4,VENTRICULAR SEPTAL DEFECT
745.5,OSTIUM SECUNDUM TYPE ATRIAL SEPTAL DEFECT
745.6,ENDOCARDIAL CUSHION DEFECTS
745.7,COR BILOCULARE
745.8,OTHER
745.9,UNSPECIFIED DEFECT OF SEPTAL CLOSURE
746,OTHER CONGENITAL ANOMALIES OF HEART
746.0,ANOMALIES OF PULMONARY VALVE
746.1,"TRICUSPID ATRESIA AND STENOSIS, CONGENITAL"
746.2,EBSTEIN'S ANOMALY
746.3,CONGENITAL STENOSIS OF AORTIC VALVE
746.4,CONGENITAL INSUFFICIENCY OF AORTIC VALVE
746.5,CONGENITAL MITRAL STENOSIS
746.6,CONGENITAL MITRAL INSUFFICIENCY
746.7,HYPOPLASTIC LEFT HEART SYNDROME
746.8,OTHER SPECIFIED ANOMALIES OF HEART
746.9,UNSPECIFIED ANOMALIES OF HEART
747,OTHER CONGENITAL ANOMALIES OF CIRCULATORY SYSTEM
747.0,PATENT DUCTUS ARTERIOSUS
747.1,COARCTATION OF AORTA
747.2,OTHER ANOMALIES OF AORTA
747.3,ANOMALIES OF PULMONARY ARTERY
747.4,ANOMALIES OF GREAT VEINS
747.5,ABSENCE OR HYPOPLASIA OF UMBILICAL ARTERY
747.6,OTHER ANOMALIES OF PERIPHERAL VASCULAR SYSTEM
747.8,OTHER SPECIFIED ANOMALIES OF CIRCULATORY SYSTEM
