Code,Description
520,DISORDERS OF TOOTH DEVELOPMENT AND ERUPTION
520.0,ANODONTIA
520.1,SUPERNUMERARY TEETH
520.2,ABNORMALITIES OF SIZE AND FORM
520.3,MOTTLED TEETH
520.4,DISTURBANCES OF TOOTH FORMATION
520.5,"HEREDITARY DISTURBANCES IN TOOTH STRUCTURE, NOT ELSEWHERE CLASSIFIED"
520.6,DISTURBANCES IN TOOTH ERUPTION
520.7,TEETHING SYNDROME
520.8,OTHER DISORDERS OF TOOTH DEVELOPMENT
520.9,UNSPECIFIED
521,DISEASES OF HARD TISSUES OF TEETH
521.0,DENTAL CARIES
521.1,EXCESSIVE ATTRITION
521.2,ABRASION
521.3,EROSION
521.4,PATHOLOGICAL RESORPTION
521.5,HYPERCEMENTOSIS
521.6,ANKYLOSIS OF TEETH
521.7,POSTERUPTIVE COLOUR CHANGES
521.8,OTHER DISEASES OF HARD TISSUES OF TEETH
521.9,UNSPECIFIED
522,DISEASES OF PULP AND PERIAPICAL TISSUES
522.0,PULPITIS
522.1,NECROSIS OF THE PULP
522.2,PULP DEGENERATION
522.3,ABNORMAL HARD TISSUE FORMATION IN PULP
522.4,ACUTE APICAL PERIODONTITIS OF PULPAL ORIGIN
522.5,PERIAPICAL ABSCESS WITHOUT SINUS
522.6,CHRONIC APICAL PERIODONTITIS
522.7,PERIAPICAL ABSCESS WITH SINUS
522.8,RADICULAR CYST
522.9,OTHER AND UNSPECIFIED
523,GINGIVAL AND PERIODONTAL DISEASES
523.0,ACUTE GINGIVITIS
523.1,CHRONIC GINGIVITIS
523.2,GINGIVAL RECESSION
523.3,ACUTE PERIODONTITIS
523.4,CHRONIC PERIODONTITIS
523.5,PERIODONTOSIS
523.6,ACCRETIONS ON TEETH
523.8,OTHER PERIODONTAL DISEASES
523.9,UNSPECIFIED
524,"DENTOFACIAL ANOMALIES, INCLUDING MALOCCLUSION"
524.0,MAJOR ANOMALIES OF JAW SIZE
524.1,ANOMALIES OF RELATIONSHIP OF JAW TO CRANIAL BASE
524.2,ANOMALIES OF DENTAL ARCH RELATIONSHIP
524.3,ANOMALIES OF TOOTH POSITION
524.4,"MALOCCLUSION, UNSPECIFIED"
524.5,DENTOFACIAL FUNCTIONAL ABNORMALITIES
524.6,TEMPOROMANDIBULAR JOINT DISORDERS
524.8,OTHER DENTOFACIAL ANOMALIES
524.9,UNSPECIFIED
