Code,Description
240,SIMPLE AND UNSPECIFIED GOITRE
240.0,"GOITRE, SPECIFIED AS SIMPLE"
240.9,"GOITRE, UNSPECIFIED"
241,NONTOXIC NODULAR GOITRE
241.0,NONTOXIC UNINODULAR GOITRE
241.1,NONTOXIC MULTINODULAR GOITRE
241.9,UNSPECIFIED
242,THYROTOXICOSIS WITH OR WITHOUT GOITRE
242.0,TOXIC DIFFUSE GOITRE
242.1,TOXIC UNINODULAR GOITRE
242.2,TOXIC MULTINODULAR GOITRE
242.3,"TOXIC NODULAR GOITRE, UNSPECIFIED"
242.4,THYROTOXICOSIS FROM ECTOPIC THYROID NODULE
242.8,THYROTOXICOSIS OF OTHER SPECIFIED ORIGIN
242.9,THYROTOXICOSIS WITHOUT MENTION OF GOITRE OR OTHER CAUSE
243,CONGENITAL HYPOTHYROIDISM
244,ACQUIRED HYPOTHYROIDISM
244.0,POSTSURGICAL HYPOTHYROIDISM
244.1,OTHER POSTABLATIVE HYPOTHYROIDISM
244.2,IODINE HYPOTHYROIDISM
244.3,OTHER IATROGENIC HYPOTHYROIDISM
244.8,OTHER
244.9,UNSPECIFIED HYPOTHYROIDISM
245,THYROIDITIS
245.0,ACUTE THYROIDITIS
245.1,SUBACUTE THYROIDITIS
245.2,CHRONIC LYMPHOCYTIC THYROIDITIS
245.3,CHRONIC FIBROUS THYROIDITIS
245.4,IATROGENIC THYROIDITIS
245.8,OTHER AND UNSPECIFIED CHRONIC THYROIDITIS
245.9,UNSPECIFIED
246,OTHER DISORDERS OF THE THYROID
246.0,DISORDERS OF THYROCALCITONIN SECRETION
246.1,DYSHORMONOGENIC GOITRE
246.2,CYST OF THYROID
246.3,HAEMORRHAGE AND INFARCTION OF THYROID
246.8,OTHER
246.9,UNSPECIFIED
250.0,DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION
250.1,DIABETES WITH KETOACIDOSIS
250.2,DIABETES WITH COMA
250.3,DIABETES WITH RENAL MANIFESTATIONS
250.4,DIABETES WITH OPHTHALMIC MANIFESTATIONS
250.5,DIABETES WITH NEUROLOGICAL MANIFESTATIONS
250.50,"DIABETES WITH OCULAR INVOLVMENT, ADULT"
250.51,"DIABETES WITH OCULAR INVOLVMENT, JUVENILE"
250.6,DIABETES WITH PERIPHERAL CIRCULATORY DISORDERS
250.7,DIABETES WITH OTHER SPECIFIED MANIFESTATIONS
250.9,DIABETES WITH UNSPECIFIED COMPLICATIONS
251,OTHER DISORDERS OF PANCREATIC INTERNAL SECRETION
251.0,HYPOGLYCAEMIC COMA
251.1,OTHER HYPERINSULINISM
251.2,"HYPOGLYCAEMIA, UNSPECIFIED"
251.3,POSTSURGICAL HYPOINSULINAEMIA
251.4,ABNORMALITY OF SECRETION OF GLUCAGON
251.5,ABNORMALITY OF SECRETION OF GASTRIN
251.8,OTHER
251.9,UNSPECIFIED
252,DISORDERS OF PARATHYROID GLAND
252.0,HYPERPARATHYROIDISM
252.1,HYPOPARATHYROIDISM
252.8,OTHER
252.9,UNSPECIFIED
253,DISORDERS OF THE PITUITARY GLAND AND ITS HYPOTHALAMIC CONTROL
253.0,ACROMEGALY AND GIGANTISM
253.1,OTHER ANTERIOR PITUITARY HYPERFUNCTION
253.2,PANHYPOPITUITARISM
253.3,PITUITARY DWARFISM
253.4,OTHER ANTERIOR PITUITARY DISORDERS
253.5,DIABETES INSIPIDUS
253.6,OTHER DISORDERS OF NEUROHYPOPHYSIS
253.7,IATROGENIC PITUITARY DISORDERS
253.8,OTHER DISORDERS OF THE PITUITARY AND OTHER SYNDROMES OF DIENCEPHALOHYPOPHYSEAL ORIGIN
253.9,UNSPECIFIED
254,DISEASES OF THYMUS GLAND
254.0,PERSISTENT HYPERPLASIA OF THYMUS
254.1,ABSCESS OF THYMUS
254.8,OTHER
254.9,UNSPECIFIED
255,DISORDERS OF ADRENAL GLANDS
255.0,CUSHING'S SYNDROME
255.1,HYPERALDOSTERONISM
255.2,ADRENOGENITAL DISORDERS
255.3,OTHER CORTICOADRENAL OVERACTIVITY
255.4,CORTICOADRENAL INSUFFICIENCY
255.5,OTHER ADRENAL HYPOFUNCTION
255.6,MEDULLOADRENAL HYPERFUNCTION
255.8,OTHER
255.9,UNSPECIFIED
256,OVARIAN DYSFUNCTION
256.0,HYPEROESTROGENISM
256.1,OTHER OVARIAN HYPERFUNCTION
256.2,POSTABLATIVE OVARIAN FAILURE
256.3,OTHER OVARIAN FAILURE
256.4,POLYCYSTIC OVARIES
256.8,OTHER
256.9,UNSPECIFIED
257,TESTICULAR DYSFUNCTION
257.0,TESTICULAR HYPERFUNCTION
257.1,POSTABLATIVE TESTICULAR HYPOFUNCTION
257.2,OTHER TESTICULAR HYPOFUNCTION
257.8,OTHER
257.9,UNSPECIFIED
258,POLYGLANDULAR DYSFUNCTION AND RELATED DISORDERS
258.0,POLYGLANDULAR ACTIVITY IN MULTIPLE ENDOCRINE ADENOMATOSIS
258.1,OTHER COMBINATIONS OF ENDOCRINE DYSFUNCTION
258.8,OTHER
258.9,"POLYGLANDULAR DYSFUNCTION, UNSPECIFIED"
259,OTHER ENDOCRINE DISORDERS
259.0,"DELAY IN SEXUAL DEVELOPMENT AND PUBERTY, NOT ELSEWHERE CLASSIFIED"
259.1,"PRECOCIOUS SEXUAL DEVELOPMENT AND PUBERTY, NOT ELSEWHERE CLASSIFIED"
259.2,CARCINOID SYNDROME
259.3,"ECTOPIC HORMONE SECRETION, NOT ELSEWHERE CLASSIFIED"
259.4,"DWARFISM, NOT ELSEWHERE CLASSIFIED"
259.8,OTHER
259.9,UNSPECIFIED
260,KWASHIORKOR
261,NUTRITIONAL MARASMUS
262,OTHER SEVERE PROTEIN-CALORIE MALNUTRITION
263,OTHER AND UNSPECIFIED PROTEIN-CALORIE MALNUTRITION
263.0,MALNUTRITION OF MODERATE DEGREE
263.1,MALNUTRITION OF MILD DEGREE
263.2,ARRESTED DEVELOPMENT FOLLOWING PROTEIN-CALORIE MALNUTRITION
263.8,OTHER PROTEIN-CALORIE MALNUTRITION
263.9,UNSPECIFIED
264,VITAMIN 'A' DEFICIENCY
264.0,WITH CONJUNCTIVAL XEROSIS
264.1,WITH BITOT'S SPOT AND CONJUNCTIVAL XEROSIS
264.2,WITH CORNEAL XEROSIS
264.3,WITH CORNEAL ULCERATION AND XEROSIS
264.4,WITH KERATOMALACIA
264.5,WITH NIGHT BLINDNESS
264.6,WITH XEROPHTHALMIC SCARS OF CORNEA
264.7,OTHER OCULAR MANIFESTATIONS OF VITAMIN 'A' DEFICIENCY
264.8,OTHER MANIFESTATIONS OF VITAMIN 'A' DEFICIENCY
264.9,UNSPECIFIED
265,THIAMINE AND NIACIN DEFICIENCY STATES
265.0,BERIBERI
265.1,OTHER AND UNSPECIFIED MANIFESTATIONS OF THIAMINE DEFICIENCY
265.2,PELLAGRA
266,DEFICIENCY OF 'B'-COMPLEX COMPONENTS
266.0,ARIBOFLAVINOSIS
266.1,VITAMIN 'B6' DEFICIENCY
266.2,OTHER 'B'-COMPLEX DEFICIENCIES
266.9,UNSPECIFIED VITAMIN 'B' DEFICIENCY
267,ASCORBIC ACID DEFICIENCY
268,VITAMIN 'D' DEFICIENCY
268.0,"RICKETS, ACTIVE"
268.1,"RICKETS, LATE EFFECT"
268.2,OSTEOMALACIA
268.9,UNSPECIFIED
269,OTHER NUTRITIONAL DEFICIENCIES
269.0,DEFICIENCY OF VITAMIN 'K'
269.1,DEFICIENCY OF OTHER VITAMINS
269.2,UNSPECIFIED VITAMIN DEFICIENCY
269.3,"MINERAL DEFICIENCY, NOT ELSEWHERE CLASSIFIED"
269.8,OTHER NUTRITIONAL DEFICIENCY
269.9,UNSPECIFIED
270,DISORDERS OF AMINO-ACID TRANSPORT AND METABOLISM
270.0,DISTURBANCES OF AMINO-ACID TRANSPORT
270.1,PHENYLKETONURIA
270.2,OTHER DISTURBANCES OF AROMATIC AMINO-ACID METABOLISM
270.3,DISTURBANCES OF BRANCHED-CHAIN AMINO-ACID METABOLISM
270.4,DISTURBANCES OF SULPHUR-BEARING AMINO-ACID METABOLISM
270.5,DISTURBANCES OF HISTIDINE METABOLISM
270.6,DISORDERS OF UREA CYCLE METABOLISM
270.7,OTHER DISTURBANCES OF STRAIGHT-CHAIN AMINO-ACID METABOLISM
270.8,OTHER
270.9,UNSPECIFIED
271,DISORDERS OF CARBOHYDRATE TRANSPORT AND METABOLISM
271.0,GLYCOGENOSIS
271.1,GALACTOSAEMIA
271.2,HEREDITARY FRUCTOSE INTOLERANCE
271.3,INTESTINAL DISACCHARIDASE DEFICIENCIES AND DISACCHARIDE MALABSORPTION
271.4,RENAL GLYCOSURIA
271.8,OTHER
271.9,UNSPECIFIED
272,DISORDERS OF LIPOID METABOLISM
2720,PURE HYPERCHOLESTEROLAEMIA
272.1,PURE HYPERGLYCERIDAEMIA
272.2,MIXED HYPERLIPIDAEMIA
272.3,HYPERCHYLOMICRONAEMIA
272.4,OTHER AND UNSPECIFIED HYPERLIPIDAEMIA
272.5,LIPOPROTEIN DEFICIENCIES
272.6,LIPODYSTROPHY
272.7,LIPIDOSES
272.8,OTHER DISORDERS OF LIPOID METABOLISM
272.9,UNSPECIFIED DISORDERS OF LIPOID METABOLISM
273,DISORDERS OF PLASMA PROTEIN METABOLISM
273.0,POLYCLONAL HYPERGAMMAGLOBULINAEMIA
273.1,MONOCLONAL PARAPROTEINAEMIA
273.2,OTHER PARAPROTEINAEMIAS
273.3,MACROGLOBULINAEMIA
273.8,OTHER
273.9,UNSPECIFIED
274,GOUT
274.0,GOUTY ARTHROPATHY
274.1,GOUTY NEPHROPATHY
274.8,GOUT WITH OTHER MANIFESTATIONS
274.9,UNSPECIFIED
275,DISORDERS OF MINERAL METABOLISM
275.0,DISORDERS OF IRON METABOLISM
275.1,DISORDERS OF COPPER METABOLISM
275.2,DISORDERS OF MAGNESIUM METABOLISM
275.3,DISORDERS OF PHOSPHORUS METABOLISM
275.4,DISORDERS OF CALCIUM METABOLISM
275.8,OTHER
275.9,UNSPECIFIED
276,"DISORDERS OF FLUID, ELECTROLYTE AND ACID-BASE BALANCE"
276.0,HYPEROSMOLALITY AND/OR HYPERNATRAEMIA
276.1,HYPOSMOLALITY AND/OR HYPONATRAEMIA
276.2,ACIDOSIS
276.3,ALKALOSIS
276.4,MIXED ACID-BASE BALANCE DISORDER
276.5,VOLUME DEPLETION
276.6,FLUID OVERLOAD
276.7,HYPERPOTASSAEMIA
276.8,HYPOPOTASSAEMIA
276.9,"ELECTROLYTE AND FLUID DISORDERS, NOT ELSEWHERE CLASSIFIED"
277,OTHER AND UNSPECIFIED DISORDERS OF METABOLISM
277.0,CYSTIC FIBROSIS
277.1,DISORDERS OF PORPHYRIN METABOLISM
277.2,OTHER DISORDERS OF PURINE AND PYRIMIDINE METABOLISM
277.3,AMYLOIDOSIS
277.4,DISORDERS OF BILIRUBIN EXCRETION
277.5,MUCOPOLYSACCHARIDOSIS
277.6,OTHER DEFICIENCIES OF CIRCULATING ENZYMES
277.8,OTHER
277.9,UNSPECIFIED
2780,OBESITY AND OTHER HYPERALIMENTATION
278.1,LOCALIZED ADIPOSITY
278.2,HYPERVITAMINOSIS 'A'
278.3,HYPERCAROTINAEMIA
278.4,HYPERVITAMINOSIS 'D'
278.8,OTHER
279,DISORDERS INVOLVING THE IMMUNE MECHANISM
279.0,DEFICIENCY OF HUMORAL IMMUNITY
279.1,DEFICIENCY OF CELL-MEDIATED IMMUNITY
279.2,COMBINED IMMUNITY DEFICIENCY
279.3,UNSPECIFIED IMMUNITY DEFICIENCY
279.4,"AUTOIMMUNE DISEASE, NOT ELSEWHERE CLASSIFIED"
279.8,OTHER
279.9,UNSPECIFIED
