Code,Description
580,ACUTE GLOMERULONEPHRITIS
580.0,WITH LESION OF PROLIFERATIVE GLOMERULONEPHRITIS
580.4,WITH LESION OF RAPIDLY PROGRESSIVE GLOMERULONEPHRITIS
580.8,WITH OTHER SPECIFIED PATHOLOGICAL LESION IN KIDNEY
580.9,UNSPECIFIED
581,NEPHROTIC SYNDROME
581.0,WITH LESION OF PROLIFERATIVE GLOMERULONEPHRITIS
581.1,WITH LESION OF MEMBRANOUS GLOMERULONEPHRITIS
581.2,WITH LESION OF MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS
581.3,WITH LESION OF MINIMAL CHANGE GLOMERULONEPHRITIS
581.8,WITH OTHER SPECIFIED PATHOLOGICAL LESION IN KIDNEY
581.9,UNSPECIFIED
582,CHRONIC GLOMERULONEPHRITIS
582.0,WITH LESION OF PROLIFERATIVE GLOMERULONEPHRITIS
582.1,WITH LESION OF MEMBRANOUS GLOMERULONEPHRITIS
582.2,WITH LESION OF MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS
582.4,WITH LESION OF RAPIDLY PROGRESSIVE GLOMERULONEPHRITIS
582.8,WITH OTHER SPECIFIED PATHOLOGICAL LESION IN KIDNEY
582.9,UNSPECIFIED
583,"NEPHRITIS AND NEPHROPATHY, NOT SPECIFIED AS ACUTE OR CHRONIC"
583.0,WITH LESION OF PROLIFERATIVE GLOMERULONEPHRITIS
583.1,WITH LESION OF MEMBRANOUS GLOMERULONEPHRITIS
583.2,WITH LESION OF MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS
583.4,WITH LESION OF RAPIDLY PROGRESSIVE GLOMERULONEPHRITIS
583.6,WITH LESION OF RENAL CORTICAL NECROSIS
583.7,WITH LESION OF RENAL MEDULLARY NECROSIS
583.8,WITH OTHER SPECIFIED PATHOLOGICAL LESION IN KIDNEY
583.9,WITH UNSPECIFIED PATHOLOGICAL LESION IN KIDNEY
584,ACUTE RENAL FAILURE
584.5,WITH LESION OF TUBULAR NECROSIS
584.6,WITH LESION OF RENAL CORTICAL NECROSIS
584.7,WITH LESION OF RENAL MEDULLARY (PAPILLARY) NECROSIS
584.8,WITH OTHER SPECIFIED PATHOLOGICAL LESION IN KIDNEY
584.9,UNSPECIFIED
585,CHRONIC RENAL FAILURE
586,"RENAL FAILURE, UNSPECIFIED"
587,"RENAL SCLEROSIS, UNSPECIFIED"
588,DISORDERS RESULTING FROM IMPAIRED RENAL FUNCTION
588.0,RENAL OSTEODYSTROPHY
588.1,NEPHROGENIC DIABETES INSIPIDUS
588.8,OTHER
588.9,UNSPECIFIED
589,SMALL KIDNEY OF UNKNOWN CAUSE
589.0,UNILATERAL
589.1,BILATERAL
589.9,UNSPECIFIED
590,INFECTIONS OF KIDNEY
590.0,CHRONIC PYELONEPHRITIS AND CHRONIC PYONEPHROSIS
590.1,ACUTE PYELONEPHRITIS AND ACUTE PYONEPHROSIS
590.2,RENAL AND PERINEPHRIC ABSCESS
590.3,PYELOURETERITIS CYSTICA
590.8,"PYELONEPHRITIS OR PYONEPHROSIS, NOT SPECIFIED AS ACUTE OR CHRONIC"
590.9,"INFECTION OF KIDNEY, UNSPECIFIED"
591,HYDRONEPHROSIS
592,CALCULUS OF KIDNEY AND URETER
592.0,CALCULUS OF KIDNEY
592.1,CALCULUS OF URETER
592.9,"URINARY CALCULUS, UNSPECIFIED"
593,OTHER DISORDERS OF KIDNEY AND URETER
593.0,NEPHROPTOSIS
593.1,HYPERTROPHY OF KIDNEY
593.2,"CYST OF KIDNEY, ACQUIRED"
593.3,STRICTURE OR KINKING OF URETER
593.4,OTHER URETERIC OBSTRUCTION
593.5,HYDROURETER
593.6,POSTURAL PROTEINURIA
593.7,VESICOURETERIC REFLUX
