Code,Description
001,CHOLERA
001.0,DUE TO VIBRIO CHOLERAE
001.1,DUE TO VIBRIO CHOLERAE EL TOR
001.9,UNSPECIFIED
002,TYPHOID AND PARATYPHOID FEVERS
002.0,TYPHOID FEVER
002.1,PARATYPHOID FEVER 'A'
002.2,PARATYPHOID FEVER 'B'
002.3,PARATYPHOID FEVER 'C'
002.9,"PARATYPHOID FEVER, UNSPECIFIED"
003,OTHER SALMONELLA INFECTIONS
003.0,SALMONELLA GASTROENTERITIS
003.1,SALMONELLA SEPTICAEMIA
003.2,LOCALIZED SALMONELLA INFECTIONS
003.8,OTHER
003.9,UNSPECIFIED
004,SHIGELLOSIS
004.0,SHIGELLA DYSENTERIAE
004.1,SHIGELLA FLEXNERI
004.2,SHIGELLA BOYDII
004.3,SHIGELLA SONNEI
004.8,OTHER
004.9,UNSPECIFIED
005,OTHER FOOD POISONING (BACTERIAL)
005.0,STAPHYLOCOCCAL FOOD POISONING
005.1,BOTULISM
005.2,FOOD POISONING DUE TO CLOSTRIDIUM PERFRINGENS (CL.WELCHII)
005.3,FOOD POISONING DUE TO OTHER CLOSTRIDIA
005.4,FOOD POISONING DUE TO VIBRIO PARAHAEMOLYTICUS
005.8,OTHER BACTERIAL FOOD POISONING
005.9,"FOOD POISONING, UNSPECIFIED"
006,AMOEBIASIS
006.0,ACUTE AMOEBIC DYSENTERY WITHOUT MENTION OF ABSCESS
006.1,CHRONIC INTESTINAL AMOEBIASIS WITHOUT MENTION OF ABSCESS
006.2,AMOEBIC NONDYSENTERIC COLITIS
006.3,AMOEBIC LIVER ABSCESS
006.4,AMOEBIC LUNG ABSCESS
006.5,AMOEBIC BRAIN ABSCESS
006.6,AMOEBIC SKIN ULCERATION
006.8,AMOEBIC INFECTION OF OTHER SITES
006.9,"AMOEBIASIS, UNSPECIFIED"
007,OTHER PROTOZOAL INTESTINAL DISEASES
007.0,BALANTIDIASIS
007.1,GIARDIASIS
007.2,COCCIDIOSIS
007.3,INTESTINAL TRICHOMONIASIS
