Code,Description
800,FRACTURE OF VAULT OF SKULL
800.0,CLOSED WITHOUT MENTION OF INTRACRANIAL INJURY
800.1,CLOSED WITH INTRACRANIAL INJURY
800.2,OPEN WITHOUT MENTION OF INTRACRANIAL INJURY
800.3,OPEN WITH INTRACRANIAL INJURY
801,FRACTURE OF BASE OF SKULL
801.0,CLOSED WITHOUT MENTION OF INTRACRANIAL INJURY
801.1,CLOSED WITH INTRACRANIAL INJURY
801.2,OPEN WITHOUT MENTION OF INTRACRANIAL INJURY
801.3,OPEN WITH INTRACRANIAL INJURY
802,FRACTURE OF FACE BONES
802.0,"NASAL BONES, CLOSED"
802.1,"NASAL BONES, OPEN"
802.2,"MANDIBLE, CLOSED"
802.3,"MANDIBLE, OPEN"
802.4,"MALAR AND MAXILLARY BONES, CLOSED"
802.5,"MALAR AND MAXILLARY BONES, OPEN"
802.6,"ORBITAL FLOOR (BLOW-OUT), CLOSED"
802.7,"ORBITAL FLOOR (BLOW-OUT), OPEN"
802.8,"OTHER FACIAL BONES, CLOSED"
802.9,"OTHER FACIAL BONES, OPEN"
803,OTHER AND UNQUALIFIED SKULL FRACTURES
803.0,CLOSED WITHOUT MENTION OF INTRACRANIAL INJURY
803.1,CLOSED WITH INTRACRANIAL INJURY
803.2,OPEN WITHOUT MENTION OF INTRACRANIAL INJURY
803.3,OPEN WITH INTRACRANIAL INJURY
804,MULTIPLE FRACTURES INVOLVING SKULL OR FACE WITH OTHER BONES
804.0,CLOSED WITHOUT MENTION OF INTRACRANIAL INJURY
804.1,CLOSED WITH INTRACRANIAL INJURY
804.2,OPEN WITHOUT MENTION OF INTRACRANIAL INJURY
804.3,OPEN WITH INTRACRANIAL INJURY
805,FRACTURE OF VERTEBRAL COLUMN WITHOUT MENTION OF SPINAL CORD LESION
805.0,"CERVICAL, CLOSED"
805.1,"CERVICAL, OPEN"
805.2,"DORSAL (THORACIC), CLOSED"
805.3,"DORSAL (THORACIC), OPEN"
805.4,"LUMBAR, CLOSED"
805.5,"LUMBAR, OPEN"
805.6,"SACRUM AND COCCYX, CLOSED"
805.7,"SACRUM AND COCCYX, OPEN"
805.8,"UNSPECIFIED, CLOSED"
805.9,"UNSPECIFIED, OPEN"
806,FRACTURE OF VERTEBRAL COLUMN WITH SPINAL CORD LESION
806.0,"CERVICAL, CLOSED"
806.1,"CERVICAL, OPEN"
806.2,"DORSAL (THORACIC), CLOSED"
806.3,"DORSAL (THORACIC), OPEN"
806.4,"LUMBAR, CLOSED"
806.5,"LUMBAR, OPEN"
806.6,"SACRUM AND COCCYX, CLOSED"
806.7,"SACRUM AND COCCYX, OPEN"
806.8,"UNSPECIFIED, CLOSED"
806.9,"UNSPECIFIED, OPEN"
807,"FRACTURE OF RIB(S), STERNUM, LARYNX AND TRACHEA"
807.0,"RIB(S), CLOSED"
807.1,"RIB(S), OPEN"
807.2,"STERNUM, CLOSED"
807.3,"STERNUM, OPEN"
807.4,FLAIL CHEST
807.5,"LARYNX AND TRACHEA, CLOSED"
807.6,"LARYNX AND TRACHEA, OPEN"
808,FRACTURE OF PELVIS
808.0,"ACETABULUM, CLOSED"
808.1,"ACETABULUM, OPEN"
808.2,"PUBIS, CLOSED"
808.3,"PUBIS, OPEN"
808.4,"OTHER SPECIFIED PART, CLOSED"
808.5,"OTHER SPECIFIED PART, OPEN"
808.8,"UNSPECIFIED, CLOSED"
808.9,"UNSPECIFIED, OPEN"
809,ILL-DEFINED FRACTURES OF TRUNK
809.0,"FRACTURE OF TRUNK, CLOSED"
809.1,"FRACTURE OF TRUNK, OPEN"
810,FRACTURE OF CLAVICLE
810.0,CLOSED
810.1,OPEN
811,FRACTURE OF SCAPULA
811.0,CLOSED
811.1,OPEN
812,FRACTURE OF HUMERUS
812.0,"UPPER END, CLOSED"
812.1,"UPPER END, OPEN"
812.2,"SHAFT OR UNSPECIFIED PART, CLOSED"
812.3,"SHAFT OR UNSPECIFIED PART, OPEN"
812.4,"LOWER END, CLOSED"
812.5,"LOWER END, OPEN"
813,FRACTURE OF RADIUS AND ULNA
8130,"UPPER END OR UNSPECIFIED PART, CLOSED"
813.1,"UPPER END OR UNSPECIFIED PART, OPEN"
813.2,"SHAFT, CLOSED"
813.3,"SHAFT, OPEN"
813.4,"LOWER END, CLOSED"
813.5,"LOWER END, OPEN"
814,FRACTURE OF CARPAL BONE(S)
814.0,CLOSED
814.1,OPEN
815,FRACTURE OF METACARPAL BONE(S)
815.0,CLOSED
815.1,OPEN
816,FRACTURE OF ONE OR MORE PHALANGES OF HAND
816.0,CLOSED
816.1,OPEN
817,MULTIPLE FRACTURES OF HAND BONES
817.0,CLOSED
817.1,OPEN
818,ILL-DEFINED FRACTURES OF UPPER LIMB
818.0,CLOSED
818.1,OPEN
819,"MULTIPLE FRACTURES INVOLVING BOTH UPPER LIMBS, AND UPPER LIMB"
819,WITH RIB(S) AND STERNUM
819.0,CLOSED
819.1,OPEN
820,FRACTURE OF NECK OF FEMUR
820.0,"TRANSCERVICAL FRACTURE, CLOSED"
820.1,"TRANSCERVICAL FRACTURE, OPEN"
820.2,"PERTROCHANTERIC FRACTURE, CLOSED"
820.3,"PERTROCHANTERIC FRACTURE, OPEN"
820.8,"UNSPECIFIED PART, CLOSED"
820.9,"UNSPECIFIED PART, OPEN"
821,FRACTURE OF OTHER AND UNSPECIFIED PARTS OF FEMUR
821.0,"SHAFT OR UNSPECIFIED PART, CLOSED"
821.1,"SHAFT OR UNSPECIFIED PART, OPEN"
821.2,"LOWER END, CLOSED"
821.3,"LOWER END, OPEN"
822,FRACTURE OF PATELLA
822.0,CLOSED
822.1,OPEN
823,FRACTURE OF TIBIA AND FIBULA
823.0,"UPPER END OR UNSPECIFIED PART, CLOSED"
823.1,"UPPER END OR UNSPECIFIED PART, OPEN"
823.2,"SHAFT, CLOSED"
823.3,"SHAFT, OPEN"
824,FRACTURE OF ANKLE
824.0,"MEDIAL MALLEOLUS, CLOSED"
824.1,"MEDIAL MALLEOLUS, OPEN"
824.2,"LATERAL MALLEOLUS, CLOSED"
824.3,"LATERAL MALLEOLUS, OPEN"
824.4,"BIMALLEOLAR, CLOSED"
824.5,"BIMALLEOLAR, OPEN"
824.6,"TRIMALLEOLAR, CLOSED"
824.7,"TRIMALLEOLAR, OPEN"
824.8,"UNSPECIFIED, CLOSED"
824.9,"UNSPECIFIED, OPEN"
825,FRACTURE OF ONE OR MORE TARSAL AND METATARSAL BONES
825.0,"FRACTURE OF CALCANEUS, CLOSED"
825.1,"FRACTURE OF CALCANEUS, OPEN"
825.2,"FRACTURE OF OTHER TARSAL AND METATARSAL BONES, CLOSED"
825.3,"FRACTURE OF OTHER TARSAL AND METATARSAL BONES, OPEN"
