Code,Description
290,SENILE AND PRESENILE ORGANIC PSYCHOTIC CONDITIONS
290.0,"SENILE DEMENTIA, SIMPLE TYPE"
290.1,PRESENILE DEMENTIA
290.2,"SENILE DEMENTIA, DEPRESSED OR PARANOID TYPE"
290.3,SENILE DEMENTIA WITH ACUTE CONFUSIONAL STATE
290.4,ARTERIOSCLEROTIC DEMENTIA
290.8,OTHER
290.9,UNSPECIFIED
291,ALCOHOLIC PSYCHOSES
291.0,DELIRIUM TREMENS
291.1,"KORSAKOV’S PSYCHOSIS, ALCOHOLIC"
291.2,OTHER ALCOHOLIC DEMENTIA
291.3,OTHER ALCOHOLIC HALLUCINOSIS
291.4,PATHOLOGICAL DRUNKENNESS
291.5,ALCOHOLIC JEALOUSY
291.8,OTHER
291.9,UNSPECIFIED
292,DRUG PSYCHOSES
292.0,DRUG WITHDRAWAL SYNDROME
292.1,PARANOID AND/OR HALLUCINATORY STATES INDUCED BY DRUGS
292.2,PATHOLOGICAL DRUG INTOXICATION
292.8,OTHER
292.9,UNSPECIFIED
293,TRANSIENT ORGANIC PSYCHOTIC CONDITIONS
293.0,ACUTE CONFUSIONAL STATE
293.1,SUBACUTE CONFUSIONAL STATE
293.8,OTHER
293.9,UNSPECIFIED
294,OTHER ORGANIC PSYCHOTIC CONDITIONS (CHRONIC)
294.0,KORSAKOV’S PSYCHOSIS OR SYNDROME (NONALCOHOLIC)
294.1,DEMENTIA IN CONDITIONS CLASSIFIED ELSEWHERE
294.8,OTHER
294.9,UNSPECIFIED
295.0,SCHIZOPHRENIC PSYCHOSES
295.1,HEBEPHRENIC TYPE
295.2,CATATONIC TYPE
295.3,PARANOID TYPE
295.4,ACUTE SCHIZOPHRENIC EPISODE
295.5,LATENT SCHIZOPHRENIA
295.6,RESIDUAL SCHIZOPHRENIA
295.7,SCHIZOAFFECTIVE TYPE
295.8,OTHER
295.9,UNSPECIFIED
296,AFFECTIVE PSYCHOSES
296.0,"MANIC-DEPRESSIVE PSYCHOSIS, MANIC TYPE"
296.1,"MANIC-DEPRESSIVE PSYCHOSIS, DEPRESSED TYPE"
296.2,"MANIC-DEPRESSIVE PSYCHOSIS, CIRCULAR TYPE BUT CURRENTLY MANIC"
296.3,"MANIC-DEPRESSIVE PSYCHOSIS, CIRCULAR TYPE BUT CURRENTLY DEPRESSED"
296.4,"MANIC-DEPRESSIVE PSYCHOSIS, CIRCULAR TYPE, MIXED"
296.5,"MANIC-DEPRESSIVE PSYCHOSIS, CIRCULAR TYPE, CURRENT CONDITION NOT"
296.5,SPECIFIED
296.6,"MANIC-DEPRESSIVE PSYCHOSIS, OTHER AND UNSPECIFIED"
296.8,OTHER
296.9,UNSPECIFIED
297,PARANOID STATES
297.0,"PARANOID STATE, SIMPLE"
297.1,PARANOIA
297.2,PARAPHRENIA
297.3,INDUCED PSYCHOSIS
297.8,OTHER
297.9,UNSPECIFIED
298,OTHER NONORGANIC PSYCHOSES
298.0,DEPRESSIVE TYPE
298.1,EXCITATIVE TYPE
298.2,REACTIVE CONFUSION
298.3,ACUTE PARANOID REACTION
298.4,PSYCHOGENIC PARANOID PSYCHOSIS
298.8,OTHER AND UNSPECIFIED REACTIVE PSYCHOSIS
298.9,UNSPECIFIED PSYCHOSIS
299,PSYCHOSES WITH ORIGIN SPECIFIC TO CHILDHOOD
2990,INFANTILE AUTISM
299.1,DISINTEGRATIVE PSYCHOSIS
299.8,OTHER
299.9,UNSPECIFIED
300,NEUROTIC DISORDERS
