Code,Description
710,DIFFUSE DISEASES OF CONNECTIVE TISSUE
710.0,SYSTEMIC LUPUS ERYTHEMATOSUS
710.1,SYSTEMIC SCLEROSIS
710.2,SICCA SYNDROME
710.3,DERMATOMYOSITIS
710.4,POLYMYOSITIS
710.8,OTHER
710.9,UNSPECIFIED
711,ARTHROPATHY ASSOCIATED WITH INFECTIONS
711.0,PYOGENIC ARTHRITIS
711.1,ARTHROPATHY IN REITER'S DISEASE AND ALLIED CONDITIONS
711.2,ARTHROPATHY IN BEHCET'S SYNDROME
711.3,POSTDYSENTERIC ARTHROPATHY
711.4,ARTHROPATHY ASSOCIATED WITH OTHER BACTERIAL DISEASES
711.5,ARTHROPATHY ASSOCIATED WITH OTHER VIRAL DISEASES
711.6,ARTHROPATHY ASSOCIATED WITH MYCOSES
711.7,ARTHROPATHY ASSOCIATED WITH HELMINTHIASIS
711.8,ARTHROPATHY ASSOCIATED WITH OTHER INFECTIOUS AND PARASITIC DISEASES
711.9,UNSPECIFIED INFECTIVE ARTHRITIS
712,CRYSTAL ARTHROPATHIES
712.0,GOUTY ARTHRITIS
712.1,CHONDROCALCINOSIS DUE TO DICALCIUM PHOSPHATE CRYSTALS
712.2,CHONDROCALCINOSIS DUE TO PYROPHOSPHATE CRYSTALS
712.3,"CHONDROCALCINOSIS, UNSPECIFIED"
712.8,OTHER CRYSTAL ARTHROPATHIES
712.9,UNSPECIFIED CRYSTAL ARTHROPATHY
713,ARTHROPATHY ASSOCIATED WITH OTHER DISORDERS CLASSIFIED ELSEWHERE
713.0,ARTHROPATHY ASSOCIATED WITH OTHER ENDOCRINE AND METABOLIC DISORDERS
713.1,ARTHROPATHY ASSOCIATED WITH GASTROINTESTINAL CONDITIONS
713.1,OTHER THAN INFECTIONS
713.2,ARTHROPATHY ASSOCIATED WITH HAEMATOLOGICAL DISORDERS
713.3,ARTHROPATHY ASSOCIATED WITH DERMATOLOGICAL DISORDERS
713.4,ARTHROPATHY ASSOCIATED WITH RESPIRATORY DISORDERS
713.5,ARTHROPATHY ASSOCIATED WITH NEUROLOGICAL DISORDERS
713.6,ARTHROPATHY ASSOCIATED WITH HYPERSENSITIVITY REACTION
713.7,OTHER GENERAL DISEASES WITH ARTICULAR INVOLVEMENT
713.8,ARTHROPATHY ASSOCIATED WITH OTHER CONDITIONS CLASSIFIED ELSEWHERE
714,RHEUMATOID ARTHRITIS AND OTHER INFLAMMATORY POLYARTHROPATHIES
7140,RHEUMATOID ARTHRITIS
714.1,FELTY'S SYNDROME
714.2,OTHER RHEUMATOID ARTHRITIS WITH VISCERAL OR SYSTEMIC INVOLVEMENT
714.3,JUVENILE CHRONIC POLYARTHRITIS
714.4,CHRONIC POSTRHEUMATIC ARTHROPATHY
714.8,OTHER
714.9,UNSPECIFIED
715,OSTEOARTHROSIS AND ALLIED DISORDERS
715.0,GENERALIZED
715.1,"LOCALIZED, PRIMARY"
715.2,"LOCALIZED, SECONDARY"
715.3,"LOCALIZED, NOT SPECIFIED WHETHER PRIMARY OR SECONDARY"
715.8,AS GENERALIZED
715.8,INVOLVING OR WITH MENTION OF MORE THAN ONE SITE BUT NOT SPECIFIED
715.9,UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED
716,OTHER AND UNSPECIFIED ARTHROPATHIES
716.0,KASCHIN-BECK DISEASE
716.1,TRAUMATIC ARTHROPATHY
716.2,ALLERGIC ARTHRITIS
716.3,CLIMACTERIC ARTHRITIS
716.4,TRANSIENT ARTHROPATHY
716.5,UNSPECIFIED POLYARTHROPATHY OR POLYARTHRITIS
716.6,UNSPECIFIED MONOARTHRITIS
716.8,OTHER SPECIFIED ARTHROPATHY
716.9,UNSPECIFIED
717,INTERNAL DERANGEMENT OF KNEE
717.0,OLD BUCKET HANDLE TEAR OF MEDIAL MENISCUS
717.1,DERANGEMENT OF ANTERIOR HORN OF MEDIAL MENISCUS
717.2,DERANGEMENT OF POSTERIOR HORN OF MEDIAL MENISCUS
717.3,OTHER AND UNSPECIFIED DERANGEMENT OF MEDIAL MENISCUS
717.4,DERANGEMENT OF LATERAL MENISCUS
717.5,"DERANGEMENT OF MENISCUS, NOT ELSEWHERE CLASSIFIED"
717.6,LOOSE BODY IN KNEE
717.7,CHONDROMALACIA PATELLAE
717.8,OTHER
717.9,UNSPECIFIED
718,OTHER DERANGEMENT OF JOINT
718.0,ARTICULAR CARTILAGE DISORDER
718.1,LOOSE BODY IN JOINT
718.2,PATHOLOGICAL DISLOCATION
718.3,RECURRENT DISLOCATION OF JOINT
718.4,CONTRACTURE OF JOINT
718.5,ANKYLOSIS OF JOINT
718.6,UNSPECIFIED PROTRUSIO ACETABULI
718.8,OTHER JOINT DERANGEMENT NOT ELSEWHERE CLASSIFIED
718.9,UNSPECIFIED
719,OTHER AND UNSPECIFIED DISORDER OF JOINT
719.0,EFFUSION OF JOINT
719.1,HAEMARTHROSIS
719.2,VILLONODULAR SYNOVITIS
719.3,PALINDROMIC RHEUMATISM
719.4,PAIN IN JOINT
719.5,"STIFFNESS OF JOINT, NOT ELSEWHERE CLASSIFIED"
719.6,OTHER SYMPTOMS REFERABLE TO JOINT
719.7,DIFFICULTY IN WALKING
719.8,OTHER
719.9,UNSPECIFIED
720,ANKYLOSING SPONDYLITIS AND OTHER INFLAMMATORY SPONDYLOPATHIES
720.1,SPINAL ENTHESOPATHY
720.2,"SACROILIITIS, NOT ELSEWHERE CLASSIFIED"
720.8,OTHER INFLAMMATORY SPONDYLOPATHIES
720.9,UNSPECIFIED INFLAMMATORY SPONDYLOPATHY
721,SPONDYLOSIS AND ALLIED DISORDERS
721.0,CERVICAL SPONDYLOSIS WITHOUT MYELOPATHY
721.1,CERVICAL SPONDYLOSIS WITH MYELOPATHY
721.2,THORACIC SPONDYLOSIS WITHOUT MYELOPATHY
721.3,LUMBOSACRAL SPONDYLOSIS WITHOUT MYELOPATHY
721.4,THORACIC OR LUMBAR SPONDYLOSIS WITH MYELOPATHY
721.5,KISSING SPINE
721.6,ANKYLOSING VERTEBRAL HYPEROSTOSIS
721.7,TRAUMATIC SPONDYLOPATHY
721.8,OTHER
721.9,SPONDYLOSIS OF UNSPECIFIED SITE
722.,INTERVERTEBRAL DISC DISORDERS
722.0,DISPLACEMENT OF CERVICAL INTERVERTEBRAL DISC WITHOUT MYELOPATHY
722.1,DISPLACEMENT OF THORACIC OR LUMBAR INTERVERTEBRAL DISC WITHOUT  MYELOPATH
722.2,"DISPLACEMENT OF INTERVERTEBRAL DISC, SITE UNSPECIFIED, WITHOUT  MYELOPATH"
722.3,SCHMORL'S NODES
722.4,DEGENERATION OF CERVICAL INTERVERTEBRAL DISC
722.5,DEGENERATION OF THORACIC OR LUMBAR INTERVERTEBRAL DISC
722.6,"DEGENERATION OF INTERVERTEBRAL DISC, SITE UNSPECIFIED"
722.7,INTERVERTEBRAL DISC DISORDER WITH MYELOPATHY
722.8,POSTLAMINECTOMY SYNDROME
722.9,OTHER AND UNSPECIFIED DISC DISORDER
723,OTHER DISORDERS OF CERVICAL REGION
723.0,SPINAL STENOSIS IN CERVICAL REGION
723.1,CERVICALGIA
723.2,CERVICOCRANIAL SYNDROME
723.3,CERVICOBRACHIAL SYNDROME (DIFFUSE)
723.4,BRACHIAL NEURITIS OR RADICULITIS NOS
723.5,"TORTICOLLIS, UNSPECIFIED"
723.6,PANNICULITIS SPECIFIED AS AFFECTING NECK
723.7,OSSIFICATION OF POSTERIOR LONGITUDINAL LIGAMENT IN CERVICAL REGION
723.8,OTHER SYNDROMES AFFECTING CERVICAL REGION
723.9,UNSPECIFIED DISORDERS AND SYMPTOMS REFERABLE TO NECK
724,OTHER AND UNSPECIFIED DISORDERS OF BACK
724.0,"SPINAL STENOSIS, OTHER THAN CERVICAL"
724.1,PAIN IN THORACIC SPINE
724.2,LUMBAGO
724.3,SCIATICA
724.4,"THORACIC OR LUMBOSACRAL NEURITIS OR RADICULITIS, UNSPECIFIED"
724.5,"BACKACHE, UNSPECIFIED"
724.6,DISORDERS OF SACRUM
724.7,DISORDERS OF COCCYX
724.8,OTHER SYMPTOMS REFERABLE TO BACK
724.9,UNSPECIFIED BACK DISORDERS
725.0,POLYMYALGIA RHEUMATICA
726.0,PERIPHERAL ENTHESOPATHIES AND ALLIED SYNDROMES - ADHESIVE CAPSULITIS OF SHOULDER
726.1,"ROTATOR CUFF SYNDROME OF SHOULDER, AND ALLIED DISORDERS"
726.2,"OTHER AFFECTIONS OF SHOULDER REGION, NOT ELSEWHERE CLASSIFIED"
726.3,ENTHESOPATHY OF ELBOW REGION
726.4,ENTHESOPATHY OF WRIST AND CARPUS
726.5,ENTHESOPATHY OF HIP REGION
726.6,ENTHESOPATHY OF KNEE
726.7,ENTHESOPATHY OF ANKLE AND TARSUS
726.8,OTHER PERIPHERAL ENTHESOPATHIES
726.9,UNSPECIFIED ENTHESOPATHY
727,"OTHER DISORDERS OF SYNOVIUM, TENDON AND BURSA"
727.0,SYNOVITIS AND TENOSYNOVITIS
727.1,BUNION
727.2,SPECIFIC BURSITIDES OFTEN OF OCCUPATIONAL ORIGIN
727.3,OTHER BURSITIS
727.4,"GANGLION AND CYST OF SYNOVIUM, TENDON AND BURSA"
727.5,RUPTURE OF SYNOVIUM
727.6,"RUPTURE OF TENDON, NONTRAUMATIC"
727.8,OTHER
727.9,UNSPECIFIED
728,"DISORDERS OF MUSCLE, LIGAMENT AND FASCIA"
728.0,INFECTIVE MYOSITIS
728.1,MUSCULAR CALCIFICATION AND OSSIFICATION
728.2,"MUSCULAR WASTING AND DISUSE ATROPHY, NOT ELSEWHERE CLASSIFIED"
728.3,OTHER SPECIFIC MUSCLE DISORDERS
728.4,LAXITY OF LIGAMENT
728.5,HYPERMOBILITY SYNDROME
728.6,CONTRACTURE OF PALMAR FASCIA
728.7,OTHER FIBROMATOSES
728.8,"OTHER DISORDERS OF MUSCLE, LIGAMENT AND FASCIA"
728.9,UNSPECIFIED
729,OTHER DISORDERS OF SOFT TISSUES
729.0,"RHEUMATISM, UNSPECIFIED, AND FIBROSITIS"
729.1,"MYALGIA AND MYOSITIS, UNSPECIFIED"
729.2,"NEURALGIA, NEURITIS AND RADICULITIS, UNSPECIFIED"
729.3,"PANNICULITIS, UNSPECIFIED"
729.4,"FASCIITIS, UNSPECIFIED"
729.5,PAIN IN LIMB
729.6,RESIDUAL FOREIGN BODY IN SOFT TISSUE
729.8,OTHER SYMPTOMS REFERABLE TO LIMBS
729.9,OTHER AND UNSPECIFIED DISORDERS OF SOFT TISSUE
730.8,OTHER INFECTIONS INVOLVING BONE
730.9,UNSPECIFIED INFECTION OF BONE
731,OSTEITIS DEFORMANS AND OSTEOPATHIES ASSOCIATED WITH OTHER DISORDERS
731,CLASSIFIED ELSEWHERE
731.0,OSTEITIS DEFORMANS WITHOUT MENTION OF BONE TUMOUR
731.1,OSTEITIS DEFORMANS IN DISEASES CLASSIFIED ELSEWHERE
731.2,HYPERTROPHIC PULMONARY OSTEOARTHROPATHY
731.8,OTHER BONE INVOLVEMENT IN DISEASES CLASSIFIED ELSEWHERE
732,OSTEOCHONDROPATHIES
732.0,JUVENILE OSTEOCHONDROSIS OF SPINE
732.1,JUVENILE OSTEOCHONDROSIS OF HIP AND PELVIS
732.2,NONTRAUMATIC SLIPPED UPPER FEMORAL EPIPHYSIS
732.3,JUVENILE OSTEOCHONDROSIS OF UPPER EXTREMITY
732.4,"JUVENILE OSTEOCHONDROSIS OF LOWER EXTREMITY, EXCLUDING FOOT"
732.5,JUVENILE OSTEOCHONDROSIS OF FOOT
732.6,OTHER JUVENILE OSTEOCHONDROSIS
732.7,OSTEOCHONDRITIS DISSECANS
732.8,OTHER SPECIFIED FORMS OF OSTEOCHONDROPATHY
732.9,UNSPECIFIED OSTEOCHONDROPATHY
733,OTHER DISORDERS OF BONE AND CARTILAGE
733.0,OSTEOPOROSIS
733.1,PATHOLOGICAL FRACTURE
733.2,CYST OF BONE
733.3,HYPEROSTOSIS OF SKULL
733.4,ASEPTIC NECROSIS OF BONE
733.5,OSTEITIS CONDENSANS
733.6,TIETZE'S DISEASE
733.7,ALGONEURODYSTROPHY
733.8,MALUNION AND NONUNION OF FRACTURE
733.9,OTHER AND UNSPECIFIED
734,FLAT FOOT
735,ACQUIRED DEFORMITIES OF TOE
735.0,HALLUX VALGUS (ACQUIRED)
735.1,HALLUX VARUS (ACQUIRED)
735.2,HALLUX RIGIDUS
735.3,HALLUX MALLEUS
735.4,OTHER HAMMER TOE (ACQUIRED)
735.5,CLAWTOE (ACQUIRED)
735.8,OTHER
735.9,UNSPECIFIED
736,OTHER ACQUIRED DEFORMITIES OF LIMBS
736.0,"ACQUIRED DEFORMITIES OF FOREARM, EXCLUDING FINGERS"
736.1,MALLET FINGER
736.2,OTHER ACQUIRED DEFORMITIES OF FINGER
736.3,ACQUIRED DEFORMITIES OF HIP
736.4,GENU VALGUM OR VARUM (ACQUIRED)
736.5,GENU RECURVATUM (ACQUIRED)
736.6,OTHER ACQUIRED DEFORMITIES OF KNEE
736.7,OTHER ACQUIRED DEFORMITIES OF ANKLE AND FOOT
736.8,ACQUIRED DEFORMITIES OF OTHER PARTS OF LIMBS
736.9,"ACQUIRED DEFORMITY OF LIMB, SITE UNSPECIFIED"
737,CURVATURE OF SPINE
737.0,ADOLESCENT POSTURAL KYPHOSIS
737.1,KYPHOSIS (ACQUIRED)
737.2,LORDOSIS (ACQUIRED) (POSTURAL)
737.3,KYPHOSCOLIOSIS AND SCOLIOSIS
737.4,CURVATURE OF SPINE ASSOCIATED WITH OTHER CONDITIONS
737.8,OTHER
737.9,UNSPECIFIED
738,OTHER ACQUIRED DEFORMITY
738.0,ACQUIRED DEFORMITY OF NOSE
738.1,OTHER ACQUIRED DEFORMITY OF HEAD
738.2,ACQUIRED DEFORMITY OF NECK
738.3,ACQUIRED DEFORMITY OF CHEST AND RIB
738.4,ACQUIRED SPONDYLOLISTHESIS
738.5,OTHER ACQUIRED DEFORMITY OF BACK OR SPINE
738.6,ACQUIRED DEFORMITY OF PELVIS
738.7,CAULIFLOWER EAR
738.8,ACQUIRED DEFORMITY OF OTHER SPECIFIED SITE
738.9,ACQUIRED DEFORMITY OF UNSPECIFIED SITE
739,"NONALLOPATHIC LESIONS, NOT ELSEWHERE CLASSIFIED"
739.0,HEAD REGION
739.1,CERVICAL REGION
739.2,THORACIC REGION
739.3,LUMBAR REGION
739.4,SACRAL REGION
739.5,PELVIC REGION
739.6,LOWER EXTREMITIES
739.7,UPPER EXTREMITIES
739.8,RIB CAGE
739.9,ABDOMEN AND OTHER
730,"OSTEOMYELITIS, PERIOSTITIS AND OTHER INFECTIONS INVOLVING BONE"
730,ACUTE OSTEOMYELITIS
730.1,CHRONIC OSTEOMYELITIS
730.2,UNSPECIFIED OSTEOMYELITIS
730.3,PERIOSTITIS WITHOUT MENTION OF OSTEOMYELITIS
730.4,TUBERCULOSIS OF SPINE
730.5,TUBERCULOSIS OF LIMB BONES
730.6,TUBERCULOSIS OF OTHER BONES
730.7,OSTEOPATHY RESULTING FROM POLIOMYELITIS
