Code,Description
140,MALIGNANT NEOPLASM OF LIP
140.0,"UPPER LIP, VERMILION BORDER"
140.1,"LOWER LIP, VERMILION BORDER"
140.3,"UPPER LIP, INNER ASPECT"
140.4,"LOWER LIP, INNER ASPECT"
140.5,"LIP, UNSPECIFIED, INNER ASPECT"
140.6,COMMISSURE OF LIP
140.8,OTHER
140.9,"LIP, UNSPECIFIED, VERMILION BORDER"
141,MALIGNANT NEOPLASM OF TONGUE
141.0,BASE OF TONGUE
141.1,DORSAL SURFACE OF TONGUE
141.2,TIP AND LATERAL BORDER OF TONGUE
141.3,VENTRAL SURFACE OF TONGUE
141.4,"ANTERIOR TWO-THIRDS OF TONGUE, PART UNSPECIFIED"
141.5,JUNCTIONAL ZONE
141.6,LINGUAL TONSIL
141.8,OTHER
141.9,"TONGUE, UNSPECIFIED"
142,MALIGNANT NEOPLASM OF MAJOR SALIVARY GLANDS
142.0,PAROTID GLAND
142.1,SUBMANDIBULAR GLAND
142.2,SUBLINGUAL GLAND
142.8,OTHER
142.9,SITE UNSPECIFIED
143,MALIGNANT NEOPLASM OF GUM
143.0,UPPER GUM
143.1,LOWER GUM
143.8,OTHER
143.9,"GUM, UNSPECIFIED"
144,MALIGNANT NEOPLASM OF FLOOR OF MOUTH
144.0,ANTERIOR PORTION
144.1,LATERAL PORTION
144.8,OTHER
144.9,PART UNSPECIFIED
145,MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED PARTS OF MOUTH
145.0,CHEEK MUCOSA
145.1,VESTIBULE OF MOUTH
145.2,HARD PALATE
145.3,SOFT PALATE
145.4,UVULA
145.5,"PALATE, UNSPECIFIED"
145.6,RETROMOLAR AREA
145.8,OTHER
145.9,"MOUTH, UNSPECIFIED"
146,MALIGNANT NEOPLASM OF OROPHARYNX
146.0,TONSIL
146.1,TONSILLAR FOSSA
146.2,TONSILLAR PILLARS (ANTERIOR) (POSTERIOR)
146.3,VALLECULA
146.4,ANTERIOR ASPECT OF EPIGLOTTIS
146.5,JUNCTIONAL REGION
146.6,LATERAL WALL OF OROPHARYNX
146.7,POSTERIOR WALL OF OROPHARYNX
146.8,OTHER
146.9,"OROPHARYNX, UNSPECIFIED"
147,MALIGNANT NEOPLASM OF NASOPHARYNX
147.0,SUPERIOR WALL
147.1,POSTERIOR WALL
147.2,LATERAL WALL
147.3,ANTERIOR WALL
147.8,OTHER
147.9,"NASOPHARYNX, UNSPECIFIED"
148,MALIGNANT NEOPLASM OF HYPOPHARYNX
148.0,POSTCRICOID REGION
148.1,PYRIFORM SINUS
148.2,"ARYEPIGLOTTIC FOLD, HYPOPHARYNGEAL ASPECT"
148.3,POSTERIOR HYPOPHARYNGEAL WALL
148.8,OTHER
148.9,"HYPOPHARYNX, UNSPECIFIED"
149,"MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES WITHIN THE LIP, ORAL"
149.0,"PHARYNX, UNSPECIFIED"
149.1,WALDEYER'S RING
149.8,OTHER
150,ILL-DEFINED
150,MALIGNANT NEOPLASM OF OESOPHAGUS
150.0,CERVICAL PART
150.1,THORACIC PART
150.2,ABDOMINAL PART
150.3,UPPER THIRD
150.4,MIDDLE THIRD
150.5,LOWER THIRD
150.8,OTHER
150.9,"OESOPHAGUS, UNSPECIFIED"
151,MALIGNANT NEOPLASM OF STOMACH
151.0,CARDIA
151.1,PYLORUS
151.2,PYLORIC ANTRUM
151.3,FUNDUS OF STOMACH
151.4,BODY OF STOMACH
151.5,"LESSER CURVATURE, UNSPECIFIED"
151.6,"GREATER CURVATURE, UNSPECIFIED"
151.8,OTHER
151.9,"STOMACH, UNSPECIFIED"
152,"MALIGNANT NEOPLASM OF SMALL INTESTINE, INCLUDING DUODENUM"
152.0,DUODENUM
152.1,JEJUNUM
152.2,ILEUM
152.3,MECKEL'S DIVERTICULUM
152.8,OTHER
152.9,"SMALL INTESTINE, UNSPECIFIED"
153,MALIGNANT NEOPLASM OF COLON
153.0,HEPATIC FLEXURE
153.1,TRANSVERSE COLON
153.2,DESCENDING COLON
153.3,SIGMOID COLON
153.4,CAECUM
153.5,APPENDIX
153.6,ASCENDING COLON
153.7,SPLENIC FLEXURE
153.8,OTHER
153.9,"COLON, UNSPECIFIED"
154,"MALIGNANT NEOPLASM OF RECTUM, RECTOSIGMOID JUNCTION AND ANUS"
154.0,RECTOSIGMOID JUNCTION
154.1,RECTUM
154.2,ANAL CANAL
154.3,"ANUS, UNSPECIFIED"
154.8,OTHER
155,MALIGNANT NEOPLASM OF LIVER AND INTRAHEPATIC BILE DUCTS
155.0,"LIVER, PRIMARY"
155.1,INTRAHEPATIC BILE DUCTS
155.2,"LIVER, NOT SPECIFIED AS PRIMARY OR SECONDARY"
156,MALIGNANT NEOPLASM OF GALLBLADDER AND EXTRAHEPATIC BILE DUCTS
156.0,GALLBLADDER
156.1,EXTRAHEPATIC BILE DUCTS
156.2,AMPULLA OF VATER
156.8,OTHER
156.9,"BILIARY TRACT,PART UNSPECIFIED"
157,MALIGNANT NEOPLASM OF PANCREAS
157.0,HEAD OF PANCREAS
157.1,BODY OF PANCREAS
157.2,TAIL OF PANCREAS
157.3,PANCREATIC DUCT
157.4,ISLETS OF LANGERHANS
157.8,OTHER
157.9,PART UNSPECIFIED
158,MALIGNANT NEOPLASM OF RETROPERITONEUM AND PERITONEUM
158.0,RETROPERITONEUM
158.8,SPECIFIED PARTS OF PERITONEUM
158.9,"PERITONEUM, UNSPECIFIED"
159,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES WITHIN THE DIGESTIVE
159.0,"INTESTINAL TRACT, PART UNSPECIFIED"
159.1,"SPLEEN, NOT ELSEWHERE CLASSIFIED"
159.8,OTHER
159.9,ILL-DEFINED
160,"MALIGNANT NEOPLASM OF NASAL CAVITIES, MIDDLE EAR AND ACCESSORY SINUSES"
160.0,NASAL CAVITIES
160.1,"AUDITORY TUBE, MIDDLE EAR AND MASTOID AIR CELLS"
160.2,MAXILLARY SINUS
160.3,ETHMOIDAL SINUS
160.4,FRONTAL SINUS
160.5,SPHENOIDAL SINUS
160.8,OTHER
160.9,"ACCESSORY SINUS, UNSPECIFIED"
161,MALIGNANT NEOPLASM OF LARYNX
161.0,GLOTTIS
161.1,SUPRAGLOTTIS
161.2,SUBGLOTTIS
161.3,LARYNGEAL CARTILAGES
161.8,OTHER
161.9,"LARYNX, UNSPECIFIED"
162,"MALIGNANT NEOPLASM OF TRACHEA, BRONCHUS AND LUNG"
162.0,TRACHEA
162.2,MAIN BRONCHUS
162.3,"UPPER LOBE, BRONCHUS OR LUNG"
162.4,"MIDDLE LOBE, BRONCHUS OR LUNG"
162.5,"LOWER LOBE, BRONCHUS OR LUNG"
162.8,OTHER
162.9,"BRONCHUS AND LUNG, UNSPECIFIED"
163,MALIGNANT NEOPLASM OF PLEURA
163.0,PARIETAL
163.1,VISCERAL
163.8,OTHER
163.9,"PLEURA, UNSPECIFIED"
164,"MALIGNANT NEOPLASM OF THYMUS, HEART AND MEDIASTINUM"
164.0,THYMUS
164.1,HEART
164.2,ANTERIOR MEDIASTINUM
164.3,POSTERIOR MEDIASTINUM
164.8,OTHER
164.9,"MEDIASTINUM, PART UNSPECIFIED"
165,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES WITHIN THE RESPIRATORY SYSTEM AND INTRATHORACIC ORGANS
165.0,"UPPER RESPIRATORY TRACT, PART UNSPECIFIED"
165.8,OTHER
165.9,ILL-DEFINED SITES WITHIN THE RESPIRATORY SYSTEM
170.0, MALIGNANT NEOPLASM OF BONE AND ARTICULAR CARTILAGE - BONES OF SKULL AND FACE
170.1,LOWER JAW BONE
170.2,"VERTEBRAL COLUMN, EXCLUDING SACRUM AND COCCYX"
170.3,"RIBS, STERNUM AND CLAVICLE"
170.4,LONG BONES OF UPPER LIMB AND SCAPULA
170.5,"UPPER LIMB, SHORT BONES"
170.6,"PELVIC BONES, SACRUM AND COCCYX"
170.7,"LOWER LIMB, LONG BONES"
170.8,"LOWER LIMB, SHORT BONES"
170.9,SITE UNSPECIFIED
171,MALIGNANT NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE
171.0,"HEAD, FACE AND NECK"
171.2,"UPPER LIMB, INCLUDING SHOULDER"
171.3,"LOWER LIMB, INCLUDING HIP"
171.4,THORAX
171.5,ABDOMEN
171.6,PELVIS
171.7,"TRUNK, UNSPECIFIED"
171.8,OTHER
171.9,SITE UNSPECIFIED
172,MALIGNANT MELANOMA OF SKIN
172.0,LIP
172.1,"EYELID, INCLUDING CANTHUS"
172.2,EAR AND EXTERNAL AURICULAR CANAL
172.3,OTHER AND UNSPECIFIED PARTS OF FACE
172.4,SCALP AND NECK
172.5,"TRUNK, EXCEPT SCROTUM"
172.6,UPPER LIMB INCLUDING SHOULDER
172.7,LOWER LIMB INCLUDING HIP
172.8,OTHER
172.9,SITE UNSPECIFIED
173,OTHER MALIGNANT NEOPLASM OF SKIN
173.0,SKIN OF LIP
173.1,"EYELID, INCLUDING CANTHUS"
173.2,EAR AND EXTERNAL AURICULAR CANAL
173.3,SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE
173.4,SCALP AND SKIN OF NECK
173.5,"SKIN OF TRUNK, EXCEPT SCROTUM"
173.6,"SKIN OF UPPER LIMB, INCLUDING SHOULDER"
173.7,"SKIN OF LOWER LIMB, INCLUDING HIP"
173.8,OTHER
173.9,SITE UNSPECIFIED
174,MALIGNANT NEOPLASM OF FEMALE BREAST
174.0,NIPPLE AND AREOLA
174.1,CENTRAL PORTION
174.2,UPPER-INNER QUADRANT
174.3,LOWER-INNER QUADRANT
174.4,UPPER-OUTER QUADRANT
174.5,LOWER-OUTER QUADRANT
174.6,AXILLARY TAIL
174.8,OTHER
174.9,"BREAST, UNSPECIFIED"
175,MALIGNANT NEOPLASM OF MALE BREAST
179,"MALIGNANT NEOPLASM OF UTERUS, PART UNSPECIFIED"
180,MALIGNANT NEOPLASM OF CERVIX UTERI
180.0,ENDOCERVIX
180.1,EXOCERVIX
180.8,OTHER
180.9,"CERVIX UTERI, UNSPECIFIED"
181,MALIGNANT NEOPLASM OF PLACENTA
182,MALIGNANT NEOPLASM OF BODY OF UTERUS
182.0,"CORPUS UTERI, EXCEPT ISTHMUS"
182.1,ISTHMUS
182.8,OTHER
183,MALIGNANT NEOPLASM OF OVARY AND OTHER UTERINE ADNEXA
183.0,OVARY
183.2,FALLOPIAN TUBE
183.3,BROAD LIGAMENT
183.4,PARAMETRIUM
183.5,ROUND LIGAMENT
183.8,OTHER
183.9,"UTERINE ADNEXA, UNSPECIFIED"
184.,MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED FEMALE GENITAL ORGANS
184.0,VAGINA
184.1,LABIA MAJORA
184.2,LABIA MINORA
184.3,CLITORIS
184.4,"VULVA, UNSPECIFIED"
184.8,OTHER
184.9,SITE UNSPECIFIED
185,MALIGNANT NEOPLASM OF PROSTATE
186,MALIGNANT NEOPLASM OF TESTIS
186.0,UNDESCENDED
186.9,OTHER AND UNSPECIFIED
