Code,Description
760,"FETUS OR NEWBORN AFFECTED BY MATERNAL CONDITIONS WHICH MAY BE
UNRELATED TO PRESENT PREGNANCY"
760.0,MATERNAL HYPERTENSIVE DISORDERS
760.1,MATERNAL RENAL AND URINARY TRACT DISEASES
760.2,MATERNAL INFECTIONS
760.3,OTHER CHRONIC MATERNAL CIRCULATORY AND RESPIRATORY DISEASES
760.4,MATERNAL NUTRITIONAL DISORDERS
760.5,MATERNAL INJURY
760.6,SURGICAL OPERATION ON MOTHER
760.7,NOXIOUS INFLUENCES TRANSMITTED VIA PLACENTA OR BREAST MILK
760.8,OTHER
760.9,UNSPECIFIED
761,FETUS OR NEWBORN AFFECTED BY MATERNAL COMPLICATIONS OF PREGNANCY
761.0,INCOMPETENT CERVIX
761.1,PREMATURE RUPTURE OF MEMBRANES
761.2,OLIGOHYDRAMNIOS
761.3,POLYHYDRAMNIOS
761.4,ECTOPIC PREGNANCY
761.5,MULTIPLE PREGNANCY
761.6,MATERNAL DEATH
761.7,MALPRESENTATION BEFORE LABOUR
761.8,OTHER
761.9,UNSPECIFIED
762,"FETUS OR NEWBORN AFFECTED BY COMPLICATIONS OF PLACENTA, CORD AND MEMBRANES"
762.0,PLACENTA PRAEVIA
762.1,OTHER FORMS OF PLACENTAL SEPARATION AND HAEMORRHAGE
762.2,OTHER AND UNSPECIFIED MORPHOLOGICAL AND FUNCTIONAL ABNORMALITIES OF PLACENTA
762.3,PLACENTAL TRANSFUSION SYNDROMES
762.4,PROLAPSED CORD
762.5,OTHER COMPRESSION OF UMBILICAL CORD
762.6,OTHER AND UNSPECIFIED CONDITIONS OF UMBILICAL CORD
762.7,CHORIOAMNIONITIS
762.8,OTHER ABNORMALITIES OF CHORION AND AMNION
762.9,UNSPECIFIED ABNORMALITY OF CHORION AND AMNION
763,FETUS OR NEWBORN AFFECTED BY OTHER COMPLICATIONS OF LABOUR AND DELIVERY
763.0,BREECH DELIVERY AND EXTRACTION
763.1,"OTHER MALPRESENTATION, MALPOSITION AND DISPROPORTION DURING LABOUR AND DELIVERY"
763.2,FORCEPS DELIVERY
763.3,DELIVERY BY VACUUM EXTRACTOR
763.4,CAESAREAN DELIVERY
763.5,MATERNAL ANAESTHESIA AND ANALGESIA
763.6,PRECIPITATE DELIVERY
763.7,ABNORMAL UTERINE CONTRACTIONS
763.8,OTHER COMPLICATIONS OF LABOUR AND DELIVERY
763.9,UNSPECIFIED
764,SLOW FETAL GROWTH AND FETAL MALNUTRITION
764.0,"""LIGHT-FOR-DATES"" WITHOUT MENTION OF FETAL MALNUTRITION"
764.1,"""LIGHT-FOR-DATES"" WITH SIGNS OF FETAL MALNUTRITION"
764.2,"FETAL MALNUTRITION WITHOUT MENTION OF ""LIGHT-FOR-DATES"""
764.9,"FETAL GROWTH RETARDATION, UNSPECIFIED"
765,DISORDERS RELATING TO SHORT GESTATION AND UNSPECIFIED LOW BIRTHWEIGHT
765.0,EXTREME IMMATURITY
765.1,OTHER PRETERM INFANTS
766,DISORDERS RELATING TO LONG GESTATION AND HIGH BIRTHWEIGHT
766.0,EXCEPTIONALLY LARGE BABY
766.1,"OTHER ""HEAVY-FOR-DATES"" INFANTS"
766.2,"POST-TERM INFANT, NOT ""HEAVY-FOR-DATES"""
767,BIRTH TRAUMA
767.0,SUBDURAL AND CEREBRAL HAEMORRHAGE
