Code,Description
630,HYDATIDIFORM MOLE
631,OTHER ABNORMAL PRODUCT OF CONCEPTION
632,MISSED ABORTION
633,ECTOPIC PREGNANCY
633.0,ABDOMINAL PREGNANCY
633.1,TUBAL PREGNANCY
633.2,OVARIAN PREGNANCY
633.8,OTHER ECTOPIC PREGNANCY
633.9,UNSPECIFIED
634,SPONTANEOUS ABORTION
634.0,COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
634.1,COMPLICATED BY DELAYED OR EXCESSIVE HAEMORRHAGE
634.2,COMPLICATED BY DAMAGE TO PELVIC ORGANS AND TISSUES
634.3,COMPLICATED BY RENAL FAILURE
634.4,COMPLICATED BY METABOLIC DISORDER
634.5,COMPLICATED BY SHOCK
634.6,COMPLICATED BY EMBOLISM
634.7,WITH OTHER SPECIFIED COMPLICATIONS
634.8,WITH UNSPECIFIED COMPLICATIONS
634.9,WITHOUT MENTION OF COMPLICATION
635,LEGALLY INDUCED ABORTION
635.0,COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
635.1,COMPLICATED BY DELAYED OR EXCESSIVE HAEMORRHAGE
635.2,COMPLICATED BY DAMAGE TO PELVIC ORGANS AND TISSUES
635.3,COMPLICATED BY RENAL FAILURE
635.4,COMPLICATED BY METABOLIC DISORDER
635.5,COMPLICATED BY SHOCK
635.6,COMPLICATED BY EMBOLISM
635.7,WITH OTHER SPECIFIED COMPLICATIONS
635.8,WITH UNSPECIFIED COMPLICATIONS
635.9,WITHOUT MENTION OF COMPLICATION
636,ILLEGALLY INDUCED ABORTION
636.0,COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
636.1,COMPLICATED BY DELAYED OR EXCESSIVE HAEMORRHAGE
636.2,COMPLICATED BY DAMAGE TO PELVIC ORGANS AND TISSUES
636.3,COMPLICATED BY RENAL FAILURE
636.4,COMPLICATED BY METABOLIC DISORDER
636.5,COMPLICATED BY SHOCK
636.6,COMPLICATED BY EMBOLISM
636.7,WITH OTHER SPECIFIED COMPLICATIONS
636.8,WITH UNSPECIFIED COMPLICATIONS
636.9,WITHOUT MENTION OF COMPLICATION
637,UNSPECIFIED ABORTION
637.0,COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
637.1,COMPLICATED BY DELAYED OR EXCESSIVE HAEMORRHAGE
637.2,COMPLICATED BY DAMAGE TO PELVIC ORGANS AND TISSUES
637.3,COMPLICATED BY RENAL FAILURE
637.4,COMPLICATED BY METABOLIC DISORDER
637.5,COMPLICATED BY SHOCK
637.6,COMPLICATED BY EMBOLISM
637.7,WITH OTHER SPECIFIED COMPLICATIONS
637.8,WITH UNSPECIFIED COMPLICATIONS
637.9,WITHOUT MENTION OF COMPLICATION
638,FAILED ATTEMPTED ABORTION
638.0,COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
638.1,COMPLICATED BY DELAYED OR EXCESSIVE HAEMORRHAGE
638.2,COMPLICATED BY DAMAGE TO PELVIC ORGANS AND TISSUES
638.3,COMPLICATED BY RENAL FAILURE
638.4,COMPLICATED BY METABOLIC DISORDER
638.5,COMPLICATED BY SHOCK
638.6,COMPLICATED BY EMBOLISM
638.7,WITH OTHER SPECIFIED COMPLICATIONS
638.8,WITH UNSPECIFIED COMPLICATIONS
638.9,WITHOUT MENTION OF COMPLICATION
639,COMPLICATIONS FOLLOWING ABORTION AND ECTOPIC AND MOLAR PREGNANCIES
639.0,GENITAL TRACT AND PELVIC INFECTION
639.1,DELAYED OR EXCESSIVE HAEMORRHAGE
639.2,DAMAGE TO PELVIC ORGANS AND TISSUES
639.3,RENAL FAILURE
639.4,METABOLIC DISORDERS
639.5,SHOCK
639.6,EMBOLISM
639.8,OTHER SPECIFIED COMPLICATIONS
639.9,UNSPECIFIED COMPLICATIONS FOLLOWING CONDITIONS CLASSIFIABLE TO 630-638
640,HAEMORRHAGE IN EARLY PREGNANCY
6400,THREATENED ABORTION
640.8,OTHER
640.9,UNSPECIFIED
641,"ANTEPARTUM HAEMORRHAGE, ABRUPTIO PLACENTAE, AND PLACENTA PRAEVIA"
641.0,PLACENTA PRAEVIA WITHOUT HAEMORRHAGE
641.1,HAEMORRHAGE FROM PLACENTA PRAEVIA
641.2,PREMATURE SEPARATION OF PLACENTA
641.3,ANTEPARTUM HAEMORRHAGE ASSOCIATED WITH COAGULATION DEFECTS
641.8,OTHER ANTEPARTUM HAEMORRHAGE
641.9,UNSPECIFIED ANTEPARTUM HAEMORRHAGE
642,"HYPERTENSION COMPLICATING PREGNANCY, CHILDBIRTH AND THE PUERPERIUM"
642.0,"BENIGN ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, CHILDBIRTH"
642.0,AND THE PUERPERIUM
642.1,"HYPERTENSION SECONDARY TO RENAL DISEASE, COMPLICATING PREGNANCY,"
642.2,"CHILDBIRTH AND THE PUERPERIUM
OTHER PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, CHILDBIRTH AND"
642.2,THE PUERPERIUM
642.3,TRANSIENT HYPERTENSION OF PREGNANCY
642.4,MILD OR UNSPECIFIED PRE-ECLAMPSIA
642.5,SEVERE PRE-ECLAMPSIA
642.6,ECLAMPSIA
642.7,PRE-ECLAMPSIA OR ECLAMPSIA SUPERIMPOSED ON PRE-EXISTING HYPERTENSION
642.9,"UNSPECIFIED HYPERTENSION COMPLICATING PREGNANCY, CHILDBIRTH AND THE PUERPERIUM"
643,EXCESSIVE VOMITING IN PREGNANCY
6430,MILD HYPEREMESIS GRAVIDARUM
643.1,HYPEREMESIS GRAVIDARUM WITH METABOLIC DISTURBANCE
643.2,LATE VOMITING OF PREGNANCY
643.8,OTHER VOMITING COMPLICATING PREGNANCY
643.9,UNSPECIFIED VOMITING OF PREGNANCY
644,EARLY OR THREATENED LABOUR
644.0,THREATENED LABOUR
644.1,EARLY ONSET OF DELIVERY
645,PROLONGED PREGNANCY
646,"OTHER COMPLICATIONS OF PREGNANCY, NOT ELSEWHERE CLASSIFIED"
646.0,PAPYRACEOUS FETUS
646.1,"OEDEMA OR EXCESSIVE WEIGHT GAIN IN PREGNANCY, WITHOUT MENTION"
646.2,"OF HYPERTENSION
UNSPECIFIED RENAL DISEASE IN PREGNANCY, WITHOUT MENTION OF HYPERTENSION"
646.3,HABITUAL ABORTER
646.4,PERIPHERAL NEURITIS IN PREGNANCY
646.5,ASYMPTOMATIC BACTERIURIA IN PREGNANCY
646.6,INFECTIONS OF GENITOURINARY TRACT IN PREGNANCY
646.7,LIVER DISORDERS IN PREGNANCY
