Code,Description
460,ACUTE NASOPHARYNGITIS (COMMON COLD)
461,ACUTE SINUSITIS
461.0,MAXILLARY
461.1,FRONTAL
461.2,ETHMOIDAL
461.3,SPHENOIDAL
461.8,OTHER
461.9,UNSPECIFIED
462,ACUTE PHARYNGITIS
463,ACUTE TONSILLITIS
464,ACUTE LARYNGITIS AND TRACHEITIS
464.0,ACUTE LARYNGITIS
464.1,ACUTE TRACHEITIS
464.2,ACUTE LARYNGOTRACHEITIS
464.3,ACUTE EPIGLOTTITIS
464.4,CROUP
465,ACUTE UPPER RESPIRATORY INFECTIONS OF MULTIPLE OR UNSPECIFIED SITE
465.0,ACUTE LARYNGOPHARYNGITIS
465.8,OTHER MULTIPLE SITES
465.9,UNSPECIFIED SITE
466,ACUTE BRONCHITIS AND BRONCHIOLITIS
4660,ACUTE BRONCHITIS
466.1,ACUTE BRONCHIOLITIS
470,DEFLECTED NASAL SEPTUM
471,NASAL POLYPS
4710,POLYP OF NASAL CAVITY
471.1,POLYPOID SINUS DEGENERATION
471.8,OTHER POLYP OF SINUS
471.9,UNSPECIFIED
472,CHRONIC PHARYNGITIS AND NASOPHARYNGITIS
4720,CHRONIC RHINITIS
472.1,CHRONIC PHARYNGITIS
472.2,CHRONIC NASOPHARYNGITIS
473,CHRONIC SINUSITIS
4730,MAXILLARY
473.1,FRONTAL
473.2,ETHMOIDAL
473.3,SPHENOIDAL
473.8,OTHER
473.9,UNSPECIFIED
474,CHRONIC DISEASE OF TONSILS AND ADENOIDS
4740,CHRONIC TONSILLITIS
474.1,HYPERTROPHY OF TONSILS AND ADENOIDS
474.2,ADENOID VEGETATIONS
474.8,OTHER CHRONIC DISEASE OF TONSILS AND ADENOIDS
474.9,UNSPECIFIED
475,PERITONSILLAR ABSCESS
476,CHRONIC LARYNGITIS AND LARYNGOTRACHEITIS
476.0,CHRONIC LARYNGITIS
476.1,CHRONIC LARYNGOTRACHEITIS
477,ALLERGIC RHINITIS
4770,DUE TO POLLEN
477.8,DUE TO OTHER ALLERGEN
477.9,CAUSE UNSPECIFIED
478,OTHER DISEASES OF UPPER RESPIRATORY TRACT
478.0,HYPERTROPHY OF NASAL TURBINATES
478.1,OTHER DISEASES OF NASAL CAVITY AND SINUSES
478.2,"OTHER DISEASES OF PHARYNX, NOT ELSEWHERE CLASSIFIED"
478.3,PARALYSIS OF VOCAL CORDS OR LARYNX
478.4,POLYP OF VOCAL CORD OR LARYNX
478.5,OTHER DISEASES OF VOCAL CORDS
478.6,OEDEMA OF LARYNX
478.7,"OTHER DISEASES OF LARYNX, NOT ELSEWHERE CLASSIFIED"
478.8,"UPPER RESPIRATORY TRACT HYPERSENSITIVITY REACTION, SITE UNSPECIFIED"
478.9,OTHER AND UNSPECIFIED DISEASES OF UPPER RESPIRATORY TRACT
480,VIRAL PNEUMONIA
480.0,PNEUMONIA DUE TO ADENOVIRUS
480.1,PNEUMONIA DUE TO RESPIRATORY SYNCYTIAL VIRUS
480.2,PNEUMONIA DUE TO PARAINFLUENZA VIRUS
480.8,"PNEUMONIA DUE TO OTHER VIRUS, NOT ELSEWHERE CLASSIFIED"
480.9,"VIRAL PNEUMONIA, UNSPECIFIED"
481,PNEUMOCOCCAL PNEUMONIA
482,OTHER BACTERIAL PNEUMONIA
482.0,PNEUMONIA DUE TO KLEBSIELLA PNEUMONIAE
482.1,PNEUMONIA DUE TO PSEUDOMONAS
482.2,PNEUMONIA DUE TO HAEMOPHILUS INFLUENZAE (H.INFLUENZAE)
482.3,PNEUMONIA DUE TO STREPTOCOCCUS
482.4,PNEUMONIA DUE TO STAPHYLOCOCCUS
482.8,PNEUMONIA DUE TO OTHER SPECIFIED BACTERIA
482.9,"BACTERIAL PNEUMONIA, UNSPECIFIED"
483,PNEUMONIA DUE TO OTHER SPECIFIED ORGANISM
484,PNEUMONIA IN INFECTIOUS DISEASES CLASSIFIED ELSEWHERE
484.0,MEASLES
484.1,CYTOMEGALIC INCLUSION DISEASE
4842,ORNITHOSIS
484.3,WHOOPING COUGH
484.4,TULARAEMIA
484.5,ANTHRAX
484.6,ASPERGILLOSIS
484.7,PNEUMONIA IN OTHER SYSTEMIC MYCOSES
484.8,PNEUMONIA IN OTHER INFECTIOUS DISEASES
485,"BRONCHOPNEUMONIA, ORGANISM UNSPECIFIED"
486,"PNEUMONIA, ORGANISM UNSPECIFIED"
487,INFLUENZA
487.0,WITH PNEUMONIA
"487.1                 WITH OTHER RESPIRATORY MANIFESTATIONS
487.8                 WITH OTHER MANIFESTATIONS",
490,"BRONCHITIS, NOT SPECIFIED AS ACUTE OR CHRONIC"
491,CHRONIC BRONCHITIS
491.0,SIMPLE CHRONIC BRONCHITIS
491.1,MUCOPURULENT CHRONIC BRONCHITIS
491.2,OBSTRUCTIVE CHRONIC BRONCHITIS
491.8,OTHER CHRONIC BRONCHITIS
491.9,UNSPECIFIED
492,EMPHYSEMA
493,ASTHMA
493.0,EXTRINSIC ASTHMA
493.1,INTRINSIC ASTHMA
493.9,"ASTHMA, UNSPECIFIED"
494,BRONCHIECTASIS
495,EXTRINSIC ALLERGIC ALVEOLITIS
495.0,FARMERS' LUNG
495.1,BAGASSOSIS
495.2,BIRD FANCIERS' LUNG
495.3,SUBEROSIS
495.4,MALTWORKERS' LUNG
495.5,MUSHROOM-WORKERS' LUNG
495.6,MAPLE-BARK-STRIPPERS' LUNG
495.7,"""VENTILATION"" PNEUMONITIS"
495.8,OTHER ALLERGIC PNEUMONITIS
495.9,UNSPECIFIED ALLERGIC ALVEOLITIS
496,"CHRONIC AIRWAYS OBSTRUCTION, NOT ELSEWHERE CLASSIFIED"
500,COALWORKERS' PNEUMOCONIOSIS
501,ASBESTOSIS
502,PNEUMOCONIOSIS DUE TO OTHER SILICA OR SILICATES
503,PNEUMOCONIOSIS DUE TO OTHER INORGANIC DUST
504,PNEUMOPATHY DUE TO INHALATION OF OTHER DUST
505,"PNEUMOCONIOSIS, UNSPECIFIED"
506,RESPIRATORY CONDITIONS DUE TO CHEMICAL FUMES AND VAPOURS
506.0,BRONCHITIS AND PNEUMONITIS DUE TO FUMES AND VAPOURS
506.1,ACUTE PULMONARY OEDEMA DUE TO FUMES AND VAPOURS
506.2,UPPER RESPIRATORY INFLAMMATION DUE TO FUMES AND VAPOURS
506.3,OTHER ACUTE AND SUBACUTE RESPIRATORY CONDITIONS DUE TO FUMES
506.4,"AND VAPOURS
CHRONIC RESPIRATORY CONDITIONS DUE TO FUMES AND VAPOURS"
506.9,UNSPECIFIED
507,PNEUMONITIS DUE TO SOLIDS AND LIQUIDS
507.0,DUE TO INHALATION OF FOOD OR VOMIT
507.1,DUE TO INHALATION OF OILS AND ESSENCES
507.8,OTHER
508,RESPIRATORY CONDITIONS DUE TO OTHER AND UNSPECIFIED EXTERNAL AGENTS
508.0,ACUTE PULMONARY MANIFESTATIONS DUE TO RADIATION
508.1,CHRONIC AND OTHER PULMONARY MANIFESTATIONS DUE TO RADIATION
508.8,OTHER
508.9,UNSPECIFIED
510,EMPYEMA
510.0,WITH FISTULA
510.9,WITHOUT MENTION OF FISTULA
511,PLEURISY
511.0,WITHOUT MENTION OF EFFUSION OR CURRENT TUBERCULOSIS
511.1,"WITH EFFUSION, WITH MENTION OF A BACTERIAL CAUSE OTHER THAN"
511.8,"TUBERCULOSIS
OTHER SPECIFIED FORMS OF EFFUSION, EXCEPT TUBERCULOSIS"
511.9,UNSPECIFIED PLEURAL EFFUSION
512,PNEUMOTHORAX
513,ABSCESS OF LUNG AND MEDIASTINUM
513.0,ABSCESS OF LUNG
513.1,ABSCESS OF MEDIASTINUM
514,PULMONARY CONGESTION AND HYPOSTASIS
515,POSTINFLAMMATORY PULMONARY FIBROSIS
516,OTHER ALVEOLAR AND PARIETOALVEOLAR PNEUMOPATHY
516.0,PULMONARY ALVEOLAR PROTEINOSIS
516.1,IDIOPATHIC PULMONARY HAEMOSIDEROSIS
516.2,PULMONARY ALVEOLAR MICROLITHIASIS
516.3,IDIOPATHIC FIBROSING ALVEOLITIS
516.8,OTHER
516.9,UNSPECIFIED
517,LUNG INVOLVEMENT IN CONDITIONS CLASSIFIED ELSEWHERE
517.0,RHEUMATOID LUNG
517.1,RHEUMATIC PNEUMONIA
517.2,LUNG INVOLVEMENT IN SYSTEMIC SCLEROSIS
517.8,OTHER
518,OTHER DISEASES OF LUNG
518.0,PULMONARY COLLAPSE
518.1,INTERSTITIAL EMPHYSEMA
518.2,COMPENSATORY EMPHYSEMA
518.3,PULMONARY EOSINOPHILIA
518.4,"ACUTE OEDEMA OF LUNG, UNSPECIFIED"
518.5,PULMONARY INSUFFICIENCY FOLLOWING TRAUMA AND SURGERY
518.8,"OTHER DISEASES OF LUNG, NOT ELSEWHERE CLASSIFIED"
519,OTHER DISEASES OF RESPIRATORY SYSTEM
519.0,TRACHEOSTOMY MALFUNCTION
519.1,"OTHER DISEASES OF TRACHEA AND BRONCHUS, NOT ELSEWHERE CLASSIFIED"
519.2,MEDIASTINITIS
519.3,"OTHER DISEASES OF MEDIASTINUM, NOT ELSEWHERE CLASSIFIED"
519.4,DISORDERS OF DIAPHRAGM
519.8,"OTHER DISEASES OF RESPIRATORY SYSTEM, NOT ELSEWHERE CLASSIFIED"
519.9,UNSPECIFIED
