Code,Description
680,CARBUNCLE AND FURUNCLE
680.0,FACE
680.1,NECK
680.2,TRUNK
680.3,UPPER ARM AND FOREARM
680.4,HAND
680.5,BUTTOCK
680.6,"LEG, EXCEPT FOOT"
680.7,FOOT
680.8,OTHER SPECIFIED SITE
680.9,UNSPECIFIED SITE
681,CELLULITIS AND ABSCESS OF FINGER AND TOE
681.0,FINGER
681.1,TOE
681.9,UNSPECIFIED DIGIT
682,OTHER CELLULITIS AND ABSCESS
682.0,FACE
682.1,NECK
682.2,TRUNK
682.3,UPPER ARM AND FOREARM
682.4,"HAND, EXCEPT FINGERS"
682.5,BUTTOCK
682.6,"LEG, EXCEPT FOOT"
682.7,"FOOT, EXCEPT TOES"
682.8,OTHER SPECIFIED SITE
682.9,UNSPECIFIED SITE
683,ACUTE LYMPHADENITIS
684,IMPETIGO
685,PILONIDAL CYST
685.0,WITH ABSCESS
685.1,WITHOUT MENTION OF ABSCESS
686,OTHER LOCAL INFECTIONS OF SKIN AND SUBCUTANEOUS TISSUE
686.0,PYODERMA
686.1,PYOGENIC GRANULOMA
686.8,OTHER LOCAL INFECTIONS OF SKIN AND SUBCUTANEOUS TISSUE
686.9,UNSPECIFIED LOCAL INFECTIONS OF SKIN AND SUBCUTANEOUS TISSUE
690,ERYTHEMATOSQUAMOUS DERMATOSIS
691,ATOPIC DERMATITIS AND RELATED CONDITIONS
691.0,DIAPER OR NAPKIN RASH
691.8,OTHER
692,CONTACT DERMATITIS AND OTHER ECZEMA
692.0,DUE TO DETERGENTS
692.1,DUE TO OILS AND GREASES
692.2,DUE TO SOLVENTS
692.3,DUE TO DRUGS AND MEDICAMENTS IN CONTACT WITH SKIN
692.4,DUE TO OTHER CHEMICAL PRODUCTS
692.5,DUE TO FOOD IN CONTACT WITH SKIN
692.6,DUE TO PLANTS (EXCEPT FOOD)
692.7,DUE TO SOLAR RADIATION
692.8,DUE TO OTHER SPECIFIED AGENTS
692.9,UNSPECIFIED CAUSE
693,DERMATITIS DUE TO SUBSTANCES TAKEN INTERNALLY
693.0,DUE TO DRUGS AND MEDICAMENTS
693.1,DUE TO FOOD
693.8,DUE TO OTHER SPECIFIED SUBSTANCE
693.9,DUE TO UNSPECIFIED SUBSTANCE
694,BULLOUS DERMATOSES
694.0,DERMATITIS HERPETIFORMIS
694.1,SUBCORNEAL PUSTULAR DERMATOSIS
694.2,JUVENILE DERMATITIS HERPETIFORMIS
694.3,IMPETIGO HERPETIFORMIS
694.4,PEMPHIGUS
694.5,PEMPHIGOID
694.6,BENIGN MUCOUS MEMBRANE PEMPHIGOID
694.8,OTHER BULLOUS DERMATOSES
694.9,UNSPECIFIED
695,ERYTHEMATOUS CONDITIONS
695.0,TOXIC ERYTHEMA
695.1,ERYTHEMA MULTIFORME
695.2,ERYTHEMA NODOSUM
695.3,ROSACEA
695.4,LUPUS ERYTHEMATOSUS
695.8,OTHER ERYTHEMATOUS CONDITIONS
695.9,UNSPECIFIED
696,PSORIASIS AND SIMILAR DISORDERS
696.0,PSORIATIC ARTHROPATHY
696.1,OTHER PSORIASIS
696.2,PARAPSORIASIS
696.3,PITYRIASIS ROSEA
696.4,PITYRIASIS RUBRA PILARIS
696.5,OTHER AND UNSPECIFIED PITYRIASIS
696.8,OTHER
697,LICHEN
697.0,LICHEN PLANUS
697.1,LICHEN NITIDUS
697.8,"OTHER LICHEN, NOT ELSEWHERE CLASSIFIED"
697.9,UNSPECIFIED
698,PRURITIS AND RELATED CONDITIONS
698.0,PRURITIS ANI
