Code,Description
V01,CONTACT WITH OR EXPOSURE TO COMMUNICABLE DISEASES
V01.0,CHOLERA
V01.1,TUBERCULOSIS
V01.2,POLIOMYELITIS
V01.3,SMALLPOX
V01.4,RUBELLA
V01.5,RABIES
V01.6,VENEREAL DISEASES
V01.7,OTHER VIRAL DISEASES
V01.8,OTHER COMMUNICABLE DISEASES
V01.9,UNSPECIFIED
V02,CARRIER OR SUSPECTED CARRIER OF INFECTIOUS DISEASES
V02.0,CHOLERA
V02.1,TYPHOID
V02.2,AMOEBIASIS
V02.3,OTHER GASTROINTESTINAL PATHOGENS
V02.4,DIPHTHERIA
V02.5,OTHER SPECIFIED BACTERIAL DISEASES
V02.6,VIRAL HEPATITIS
V02.7,GONORRHOEA
V02.8,OTHER VENEREAL DISEASES
V02.9,OTHER SPECIFIED INFECTIOUS ORGANISM
V03,NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST BACTERIAL DISEASES
V03.0,CHOLERA ALONE
V03.1,TYPHOID-PARATYPHOID ALONE (TAB)
V03.2,TUBERCULOSIS (BCG)
V03.3,PLAGUE
V03.4,TULARAEMIA
V03.5,DIPHTHERIA ALONE
V03.6,PERTUSSIS ALONE
V03.7,TETANUS TOXOID ALONE
V03.8,OTHER SPECIFIED VACCINATIONS AGAINST SINGLE BACTERIAL DISEASES
V03.9,UNSPECIFIED
V04,NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST CERTAIN VIRAL DISEASES
V04.0,POLIOMYELITIS
V04.1,SMALLPOX
