Code,Description
780,GENERAL SYMPTOMS
780.0,COMA AND STUPOR
780.1,HALLUCINATIONS
780.2,SYNCOPE AND COLLAPSE
780.3,CONVULSIONS
780.4,DIZZINESS AND GIDDINESS
780.5,SLEEP DISTURBANCES
780.6,PYREXIA OF UNKNOWN ORIGIN
780.7,MALAISE AND FATIGUE
780.8,HYPERHIDROSIS
780.9,OTHER
781,SYMPTOMS INVOLVING NERVOUS AND MUSCULOSKELETAL SYSTEMS
781.0,ABNORMAL INVOLUNTARY MOVEMENTS
781.1,DISTURBANCES OF SENSATION OF SMELL AND TASTE
781.2,ABNORMALITY OF GAIT
781.3,LACK OF COORDINATION
781.4,TRANSIENT PARALYSIS OF LIMB
781.5,CLUBBING OF FINGERS
781.6,MENINGISMUS
781.7,TETANY
781.9,OTHER
782,SYMPTOMS INVOLVING SKIN AND OTHER INTEGUMENTARY TISSUE
782.0,DISTURBANCE OF SKIN SENSATION
782.1,RASH AND OTHER NONSPECIFIC SKIN ERUPTION
782.2,"LOCALIZED SUPERFICIAL SWELLING, MASS OR LUMP"
782.3,OEDEMA
782.4,"JAUNDICE UNSPECIFIED, NOT OF NEWBORN"
782.5,CYANOSIS
782.6,PALLOR AND FLUSHING
782.7,SPONTANEOUS ECCHYMOSES
782.8,CHANGES IN SKIN TEXTURE
782.9,OTHER
783,"SYMPTOMS CONCERNING NUTRITION, METABOLISM AND DEVELOPMENT"
783.0,ANOREXIA
783.1,ABNORMAL WEIGHT GAIN
783.2,ABNORMAL LOSS OF WEIGHT
783.3,FEEDING DIFFICULTIES AND MISMANAGEMENT
783.4,LACK OF EXPECTED NORMAL PHYSIOLOGICAL DEVELOPMENT
783.5,POLYDIPSIA
783.6,POLYPHAGIA
783.9,OTHER
784,SYMPTOMS INVOLVING HEAD AND NECK
784.0,HEADACHE
784.1,THROAT PAIN
784.2,"SWELLING, MASS OR LUMP IN HEAD AND NECK"
784.3,APHASIA
784.4,VOICE DISTURBANCE
784.5,OTHER SPEECH DISTURBANCE
784.6,OTHER SYMBOLIC DYSFUNCTION
784.61,DYSLEXIA
784.7,EPISTAXIS
784.8,HAEMORRHAGE FROM THROAT
784.9,OTHER
785,SYMPTOMS INVOLVING CARDIOVASCULAR SYSTEM
7850,"TACHYCARDIA, UNSPECIFIED"
785.1,PALPITATIONS
785.2,FUNCTIONAL AND UNDIAGNOSED CARDIAC MURMURS
785.3,OTHER ABNORMAL HEART SOUNDS
785.4,GANGRENE
785.5,SHOCK WITHOUT MENTION OF TRAUMA
785.6,ENLARGEMENT OF LYMPH NODES
785.9,OTHER
786,SYMPTOMS INVOLVING RESPIRATORY SYSTEM AND OTHER CHEST SYMPTOMS
7860,DYSPNOEA AND RESPIRATORY ABNORMALITIES
786.1,STRIDOR
786.2,COUGH
786.3,HAEMOPTYSIS
786.4,ABNORMAL SPUTUM
786.5,CHEST PAIN
786.6,"SWELLING, MASS OR LUMP IN CHEST"
786.7,ABNORMAL CHEST SOUNDS
786.8,HICCOUGH
786.9,OTHER
787,SYMPTOMS INVOLVING DIGESTIVE SYSTEM
7870,NAUSEA AND VOMITING
787.1,HEARTBURN
787.2,DYSPHAGIA
